Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,Freight volume (tonne kilometres),,Tonne kilometres,2178.1
2011,Freight volume (tonne kilometres),,Tonne kilometres,2360.4
2012,Freight volume (tonne kilometres),,Tonne kilometres,2604.4
2013,Freight volume (tonne kilometres),,Tonne kilometres,2662.3
2014,Freight volume (tonne kilometres),,Tonne kilometres,2497.1
2015,Freight volume (tonne kilometres),,Tonne kilometres,2525.1
2016,Freight volume (tonne kilometres),,Tonne kilometres,2466.4
2017,Freight volume (tonne kilometres),,Tonne kilometres,2641.0
2018,Freight volume (tonne kilometres),,Tonne kilometres,2777.3
2019,Freight volume (tonne kilometres),,Tonne kilometres,2913.6
2020,Freight volume (tonne kilometres),,Tonne kilometres,2434.5
2021,Freight volume (tonne kilometres),,Tonne kilometres,2620.2
2022,Freight volume (tonne kilometres),,Tonne kilometres,2756.0
2023,Freight volume (tonne kilometres),,Tonne kilometres,2985.3
2024,Freight volume (tonne kilometres),,Tonne kilometres,3180.0
2007,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,848.9
2008,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,945.5
2009,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,744.5
2010,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,737.7
2011,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,798.3
2012,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,922.7
2013,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,1001.7
2014,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,1010.0
2015,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,917.8
2016,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,807.0
2017,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,937.3
2018,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,950.7
2019,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,870.4
2020,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,937.5
2021,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,1003.1
2022,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,1013.8
2023,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,1085.6
2024,Freight volume (tonne kilometres),Mode of Transport: Rail,Tonne kilometres,1075.5
2007,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,902.5
2008,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1113.9
2009,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1256.4
2010,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1281.5
2011,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1302.8
2012,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1371.5
2013,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1392.0
2014,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1264.7
2015,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1401.7
2016,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1501.3
2017,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1527.1
2018,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1624.0
2019,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1841.9
2020,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1281.2
2021,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1348.4
2022,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1451.1
2023,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1403.6
2024,Freight volume (tonne kilometres),Mode of Transport: Road,Tonne kilometres,1531.2
2007,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,218.3
2008,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,211.5
2009,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,90.0
2010,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,91.5
2011,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,146.3
2012,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,208.8
2013,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,156.7
2014,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,135.2
2015,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,145.9
2016,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,140.7
2017,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,163.5
2018,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,192.8
2019,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,192.8
2020,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,208.6
2021,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,248.0
2022,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,273.4
2023,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,265.0
2024,Freight volume (tonne kilometres),Mode of Transport: Pipeline,Tonne kilometres,320.7
2007,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,4.8
2008,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,8.0
2009,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,4.4
2010,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,3.0
2011,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,2.0
2012,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,2.2
2013,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,2.0
2014,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,2.8
2015,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,2.3
2016,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,0.5
2017,Freight volume (tonne kilometres),Mode of Transport: Water,Tonne kilometres,0.0
2007,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,47.1
2008,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,59.4
2009,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,45.4
2010,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,64.4
2011,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,111.0
2012,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,99.2
2013,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,109.9
2014,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,83.4
2015,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,57.4
2016,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,16.9
2017,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,13.1
2018,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,9.8
2019,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,8.5
2020,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,7.2
2021,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,20.7
2022,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,17.7
2023,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,231.1
2024,Freight volume (tonne kilometres),Mode of Transport: Air,Tonne kilometres,252.5
