Year,Series,Reference area,Units,Value
2013,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,27.7
2014,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,31.6
2015,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,27.3
2016,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,31.5
2017,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,29.6
2018,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,31.2
2019,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,31.5
2010,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,31.9
2011,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,30.8
2012,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,30.5
2013,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,30.6
2014,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,32.4
2015,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,30.5
2016,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,29.9
2017,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,30.4
2018,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,30.3
2019,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,30.4
2010,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,17.1
2011,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,17.8
2012,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,26.8
2013,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,25.3
2014,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,20.5
2015,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,19.5
2016,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,21.9
2017,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,25.3
2018,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,25.6
2019,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,26.3
