Year,Reference area,Sex,Value
2014,Naryn,,44.0
2015,Naryn,,22.0
2016,Naryn,,43.0
2017,Naryn,,2.8
2018,Naryn,,32.0
2007,Naryn,Female,110.0
2008,Naryn,Female,71.0
2009,Naryn,Female,39.0
2010,Naryn,Female,47.0
2011,Naryn,Female,92.0
2012,Naryn,Female,53.0
2013,Naryn,Female,45.0
2014,Naryn,Female,22.0
2015,Naryn,Female,15.0
2016,Naryn,Female,15.0
2017,Naryn,Female,3.6
2018,Naryn,Female,29.0
2007,Naryn,Modeled,131.0
2008,Naryn,Modeled,69.0
2009,Naryn,Modeled,191.0
2010,Naryn,Modeled,106.0
2011,Naryn,Modeled,127.0
2012,Naryn,Modeled,81.0
2013,Naryn,Modeled,88.0
2014,Naryn,Modeled,65.0
2015,Naryn,Modeled,29.0
2016,Naryn,Modeled,71.0
2017,Naryn,Modeled,2.1
2018,Naryn,Modeled,34.0
2007,Osh,,38.0
2008,Osh,,41.0
2009,Osh,,75.0
2010,Osh,,84.0
2011,Osh,,64.0
2012,Osh,,42.0
2013,Osh,,51.0
2014,Osh,,63.0
2015,Osh,,35.0
2016,Osh,,46.0
2017,Osh,,5.9
2018,Osh,,44.0
2007,Osh,Female,39.0
2008,Osh,Female,35.0
2009,Osh,Female,53.0
2010,Osh,Female,65.0
2011,Osh,Female,58.0
2012,Osh,Female,33.0
2013,Osh,Female,46.0
2014,Osh,Female,50.0
2015,Osh,Female,26.0
2016,Osh,Female,24.0
2017,Osh,Female,5.3
2018,Osh,Female,30.0
2007,Osh,Modeled,37.0
2008,Osh,Modeled,47.0
2009,Osh,Modeled,97.0
2010,Osh,Modeled,102.0
2011,Osh,Modeled,70.0
2012,Osh,Modeled,51.0
2013,Osh,Modeled,55.0
2014,Osh,Modeled,77.0
2015,Osh,Modeled,45.0
2016,Osh,Modeled,68.0
2017,Osh,Modeled,6.5
2018,Osh,Modeled,58.0
2007,Talas,,76.0
2008,Talas,,58.0
2009,Talas,,48.0
2010,Talas,,113.0
2011,Talas,,81.0
2012,Talas,,84.0
2013,Talas,,79.0
2014,Talas,,65.0
2015,Talas,,52.0
2016,Talas,,63.0
2017,Talas,,3.9
2018,Talas,,27.0
2007,Talas,Female,108.0
2008,Talas,Female,71.0
2009,Talas,Female,35.0
2010,Talas,Female,131.0
2011,Talas,Female,60.0
2012,Talas,Female,68.0
2013,Talas,Female,50.0
2014,Talas,Female,58.0
2015,Talas,Female,24.0
2016,Talas,Female,56.0
2017,Talas,Female,1.6
2018,Talas,Female,31.0
2007,Talas,Modeled,45.0
2008,Talas,Modeled,44.0
2009,Talas,Modeled,61.0
2010,Talas,Modeled,95.0
2011,Talas,Modeled,102.0
2012,Talas,Modeled,100.0
2013,Talas,Modeled,107.0
2014,Talas,Modeled,73.0
2015,Talas,Modeled,80.0
2016,Talas,Modeled,70.0
2017,Talas,Modeled,6.2
2018,Talas,Modeled,23.0
2007,Chui,,123.0
2008,Chui,,132.0
2009,Chui,,112.0
2010,Chui,,65.0
2011,Chui,,103.0
2012,Chui,,88.0
2013,Chui,,66.0
2014,Chui,,65.0
2015,Chui,,58.0
2016,Chui,,54.0
2017,Chui,,4.8
2018,Chui,,63.0
2007,Chui,Female,92.0
2008,Chui,Female,86.0
2009,Chui,Female,71.0
2010,Chui,Female,61.0
2011,Chui,Female,89.0
2012,Chui,Female,71.0
2013,Chui,Female,63.0
2014,Chui,Female,39.0
2015,Chui,Female,47.0
2016,Chui,Female,42.0
2017,Chui,Female,2.6
2018,Chui,Female,49.0
2007,Chui,Modeled,154.0
2008,Chui,Modeled,179.0
2009,Chui,Modeled,154.0
2010,Chui,Modeled,70.0
2011,Chui,Modeled,117.0
2012,Chui,Modeled,105.0
2013,Chui,Modeled,70.0
2014,Chui,Modeled,92.0
2015,Chui,Modeled,69.0
2016,Chui,Modeled,66.0
2017,Chui,Modeled,7.1
2018,Chui,Modeled,78.0
2007,Bishkek (city),,194.0
2008,Bishkek (city),,166.0
2009,Bishkek (city),,186.0
2010,Bishkek (city),,175.0
2011,Bishkek (city),,166.0
2012,Bishkek (city),,179.0
2013,Bishkek (city),,101.0
2014,Bishkek (city),,95.0
2015,Bishkek (city),,79.0
2016,Bishkek (city),,101.0
2017,Bishkek (city),,10.1
2018,Bishkek (city),,90.0
2007,Bishkek (city),Female,153.0
2008,Bishkek (city),Female,110.0
2009,Bishkek (city),Female,109.0
2010,Bishkek (city),Female,98.0
2011,Bishkek (city),Female,108.0
2012,Bishkek (city),Female,78.0
2013,Bishkek (city),Female,74.0
2014,Bishkek (city),Female,71.0
2015,Bishkek (city),Female,46.0
2016,Bishkek (city),Female,70.0
2017,Bishkek (city),Female,7.6
2018,Bishkek (city),Female,59.0
2007,Bishkek (city),Modeled,242.0
2008,Bishkek (city),Modeled,229.0
2009,Bishkek (city),Modeled,275.0
2010,Bishkek (city),Modeled,263.0
2011,Bishkek (city),Modeled,233.0
2012,Bishkek (city),Modeled,294.0
2013,Bishkek (city),Modeled,131.0
2014,Bishkek (city),Modeled,123.0
2015,Bishkek (city),Modeled,118.0
2016,Bishkek (city),Modeled,137.0
2017,Bishkek (city),Modeled,12.9
2018,Bishkek (city),Modeled,124.0
2007,Osh (city),,410.0
2008,Osh (city),,249.0
2009,Osh (city),,236.0
2010,Osh (city),,136.0
2011,Osh (city),,192.0
2012,Osh (city),,294.0
2013,Osh (city),,21.3
2014,Osh (city),,24.7
2015,Osh (city),,22.3
2016,Osh (city),,140.0
2017,Osh (city),,4.9
2018,Osh (city),,75.0
2007,Osh (city),Female,352.0
2008,Osh (city),Female,194.0
2009,Osh (city),Female,141.0
2010,Osh (city),Female,119.0
2011,Osh (city),Female,113.0
2012,Osh (city),Female,208.0
2013,Osh (city),Female,12.4
2014,Osh (city),Female,20.9
2015,Osh (city),Female,14.9
2016,Osh (city),Female,12.5
2017,Osh (city),Female,4.1
2018,Osh (city),Female,40.0
2007,Osh (city),Modeled,472.0
2008,Osh (city),Modeled,308.0
2009,Osh (city),Modeled,338.0
2010,Osh (city),Modeled,154.0
2011,Osh (city),Modeled,277.0
2012,Osh (city),Modeled,388.0
2013,Osh (city),Modeled,30.9
2014,Osh (city),Modeled,28.7
2015,Osh (city),Modeled,30.4
2016,Osh (city),Modeled,15.6
2017,Osh (city),Modeled,5.8
2018,Osh (city),Modeled,112.0
