Year,Reference area,GeoCode,Value
2017,Talas,KG07,63.9
2018,Talas,KG07,57.2
2019,Talas,KG07,64.4
2020,Talas,KG07,67.3
2021,Talas,KG07,116.6
2022,Talas,KG07,144.0
2023,Talas,KG07,149.2
2006,Chui,KG08,25.7
2007,Chui,KG08,30.2
2008,Chui,KG08,37.1
2009,Chui,KG08,39.9
2010,Chui,KG08,37.3
2011,Chui,KG08,52.4
2012,Chui,KG08,51.5
2013,Chui,KG08,58.0
2014,Chui,KG08,69.4
2015,Chui,KG08,84.8
2016,Chui,KG08,88.7
2017,Chui,KG08,98.2
2018,Chui,KG08,84.6
2019,Chui,KG08,87.0
2020,Chui,KG08,82.6
2021,Chui,KG08,106.3
2022,Chui,KG08,137.9
2023,Chui,KG08,170.1
2006,Bishkek (city),KG11,45.3
2007,Bishkek (city),KG11,59.6
2008,Bishkek (city),KG11,79.7
2009,Bishkek (city),KG11,84.6
2010,Bishkek (city),KG11,90.2
2011,Bishkek (city),KG11,115.2
2012,Bishkek (city),KG11,131.7
2013,Bishkek (city),KG11,146.8
2014,Bishkek (city),KG11,159.9
2015,Bishkek (city),KG11,162.3
2016,Bishkek (city),KG11,181.0
2017,Bishkek (city),KG11,196.8
2018,Bishkek (city),KG11,224.2
2019,Bishkek (city),KG11,252.1
2020,Bishkek (city),KG11,233.2
2021,Bishkek (city),KG11,292.4
2022,Bishkek (city),KG11,370.1
2023,Bishkek (city),KG11,515.3
2006,Osh (city),KG21,17.6
2007,Osh (city),KG21,18.2
2008,Osh (city),KG21,24.4
2009,Osh (city),KG21,27.7
2010,Osh (city),KG21,25.1
2011,Osh (city),KG21,37.6
2012,Osh (city),KG21,65.0
2013,Osh (city),KG21,73.4
2014,Osh (city),KG21,85.5
2015,Osh (city),KG21,87.1
2016,Osh (city),KG21,95.3
2017,Osh (city),KG21,112.5
2018,Osh (city),KG21,105.6
2019,Osh (city),KG21,114.8
2020,Osh (city),KG21,109.6
2021,Osh (city),KG21,124.1
2022,Osh (city),KG21,165.7
2023,Osh (city),KG21,205.5
