Year,Series,Reference area,Sex,Value
2016,SL_EMP_INJUR,Chui,,20.676602
2017,SL_EMP_INJUR,Chui,,14.895483
2018,SL_EMP_INJUR,Chui,,27.829162
2019,SL_EMP_INJUR,Chui,,26.166728
2007,SL_EMP_INJUR,Chui,Female,54.193199
2008,SL_EMP_INJUR,Chui,Female,26.478376
2009,SL_EMP_INJUR,Chui,Female,15.113046
2010,SL_EMP_INJUR,Chui,Female,18.584482
2011,SL_EMP_INJUR,Chui,Female,15.769886
2012,SL_EMP_INJUR,Chui,Female,29.823149
2013,SL_EMP_INJUR,Chui,Female,27.034334
2014,SL_EMP_INJUR,Chui,Female,22.348509
2015,SL_EMP_INJUR,Chui,Female,15.284911
2016,SL_EMP_INJUR,Chui,Female,9.59785
2017,SL_EMP_INJUR,Chui,Female,13.31425
2018,SL_EMP_INJUR,Chui,Female,9.651889
2019,SL_EMP_INJUR,Chui,Female,18.453022
2007,SL_EMP_INJUR,Chui,Male,55.381207
2008,SL_EMP_INJUR,Chui,Male,74.490978
2009,SL_EMP_INJUR,Chui,Male,46.136811
2010,SL_EMP_INJUR,Chui,Male,62.193126
2011,SL_EMP_INJUR,Chui,Male,42.334015
2012,SL_EMP_INJUR,Chui,Male,96.960781
2013,SL_EMP_INJUR,Chui,Male,75.060375
2014,SL_EMP_INJUR,Chui,Male,57.730838
2015,SL_EMP_INJUR,Chui,Male,94.425522
2016,SL_EMP_INJUR,Chui,Male,31.629555
2017,SL_EMP_INJUR,Chui,Male,16.45928
2018,SL_EMP_INJUR,Chui,Male,46.65889
2019,SL_EMP_INJUR,Chui,Male,33.895171
2007,SL_EMP_INJUR,Bishkek (city),,25.544578
2008,SL_EMP_INJUR,Bishkek (city),,35.587189
2009,SL_EMP_INJUR,Bishkek (city),,27.549559
2010,SL_EMP_INJUR,Bishkek (city),,172.396125
2011,SL_EMP_INJUR,Bishkek (city),,26.428883
2012,SL_EMP_INJUR,Bishkek (city),,21.074932
2013,SL_EMP_INJUR,Bishkek (city),,47.614038
2014,SL_EMP_INJUR,Bishkek (city),,34.362547
2015,SL_EMP_INJUR,Bishkek (city),,20.034504
2016,SL_EMP_INJUR,Bishkek (city),,30.786654
2017,SL_EMP_INJUR,Bishkek (city),,28.115403
2018,SL_EMP_INJUR,Bishkek (city),,34.548189
2019,SL_EMP_INJUR,Bishkek (city),,37.950088
2007,SL_EMP_INJUR,Bishkek (city),Female,13.871389
2008,SL_EMP_INJUR,Bishkek (city),Female,27.298253
2009,SL_EMP_INJUR,Bishkek (city),Female,18.177412
2010,SL_EMP_INJUR,Bishkek (city),Female,36.051626
2011,SL_EMP_INJUR,Bishkek (city),Female,21.926886
2012,SL_EMP_INJUR,Bishkek (city),Female,15.309916
2013,SL_EMP_INJUR,Bishkek (city),Female,31.064217
2014,SL_EMP_INJUR,Bishkek (city),Female,30.258167
2015,SL_EMP_INJUR,Bishkek (city),Female,14.949598
2016,SL_EMP_INJUR,Bishkek (city),Female,33.905848
2017,SL_EMP_INJUR,Bishkek (city),Female,31.034376
2018,SL_EMP_INJUR,Bishkek (city),Female,33.577192
2019,SL_EMP_INJUR,Bishkek (city),Female,24.386199
2007,SL_EMP_INJUR,Bishkek (city),Male,39.954338
2008,SL_EMP_INJUR,Bishkek (city),Male,44.11057
2009,SL_EMP_INJUR,Bishkek (city),Male,37.118606
2010,SL_EMP_INJUR,Bishkek (city),Male,309.616245
2011,SL_EMP_INJUR,Bishkek (city),Male,30.44769
2012,SL_EMP_INJUR,Bishkek (city),Male,27.007258
2013,SL_EMP_INJUR,Bishkek (city),Male,65.319032
2014,SL_EMP_INJUR,Bishkek (city),Male,38.683839
2015,SL_EMP_INJUR,Bishkek (city),Male,25.568908
2016,SL_EMP_INJUR,Bishkek (city),Male,27.42293
2017,SL_EMP_INJUR,Bishkek (city),Male,24.919295
2018,SL_EMP_INJUR,Bishkek (city),Male,35.610158
2019,SL_EMP_INJUR,Bishkek (city),Male,52.570155
2007,SL_EMP_INJUR,Osh (city),,7.896399
2008,SL_EMP_INJUR,Osh (city),,20.263425
2009,SL_EMP_INJUR,Osh (city),,13.09209
2010,SL_EMP_INJUR,Osh (city),,84.274841
2011,SL_EMP_INJUR,Osh (city),,47.337278
2012,SL_EMP_INJUR,Osh (city),,5.333333
2013,SL_EMP_INJUR,Osh (city),,35.351063
2014,SL_EMP_INJUR,Osh (city),,12.94733
2015,SL_EMP_INJUR,Osh (city),,2.512879
2016,SL_EMP_INJUR,Osh (city),,12.46137
2017,SL_EMP_INJUR,Osh (city),,5.105036
2018,SL_EMP_INJUR,Osh (city),,2.617458
2019,SL_EMP_INJUR,Osh (city),,7.705545
2009,SL_EMP_INJUR,Osh (city),Female,16.408686
2010,SL_EMP_INJUR,Osh (city),Female,33.337037
2011,SL_EMP_INJUR,Osh (city),Female,5.502972
2013,SL_EMP_INJUR,Osh (city),Female,5.457919
2014,SL_EMP_INJUR,Osh (city),Female,5.139538
2015,SL_EMP_INJUR,Osh (city),Female,5.105948
2007,SL_EMP_INJUR,Osh (city),Male,15.438452
2008,SL_EMP_INJUR,Osh (city),Male,40.178796
2009,SL_EMP_INJUR,Osh (city),Male,10.046213
2010,SL_EMP_INJUR,Osh (city),Male,130.175737
2011,SL_EMP_INJUR,Osh (city),Male,85.629376
2012,SL_EMP_INJUR,Osh (city),Male,10.400416
2013,SL_EMP_INJUR,Osh (city),Male,65.033601
2014,SL_EMP_INJUR,Osh (city),Male,20.875737
2016,SL_EMP_INJUR,Osh (city),Male,25.440114
2017,SL_EMP_INJUR,Osh (city),Male,10.756736
2018,SL_EMP_INJUR,Osh (city),Male,5.567309
2019,SL_EMP_INJUR,Osh (city),Male,15.828629
2007,SL_EMP_FTLINJUR,,,4.792995
2008,SL_EMP_FTLINJUR,,,4.826447
2009,SL_EMP_FTLINJUR,,,5.057444
2010,SL_EMP_FTLINJUR,,,6.148875
2011,SL_EMP_FTLINJUR,,,4.517259
2012,SL_EMP_FTLINJUR,,,4.781357
2013,SL_EMP_FTLINJUR,,,5.835186
2014,SL_EMP_FTLINJUR,,,3.602017
2015,SL_EMP_FTLINJUR,,,4.103205
2016,SL_EMP_FTLINJUR,,,5.048044
2017,SL_EMP_FTLINJUR,,,6.691124
2018,SL_EMP_FTLINJUR,,,1.516867
2019,SL_EMP_FTLINJUR,,,2.932863
2007,SL_EMP_FTLINJUR,,Female,0.777454
2008,SL_EMP_FTLINJUR,,Female,0.411186
2009,SL_EMP_FTLINJUR,,Female,1.629361
2010,SL_EMP_FTLINJUR,,Female,0.825627
2011,SL_EMP_FTLINJUR,,Female,0.403146
2013,SL_EMP_FTLINJUR,,Female,0.764608
2014,SL_EMP_FTLINJUR,,Female,1.134662
2015,SL_EMP_FTLINJUR,,Female,0.729733
2016,SL_EMP_FTLINJUR,,Female,0.364109
2018,SL_EMP_FTLINJUR,,Female,0.355105
2019,SL_EMP_FTLINJUR,,Female,0.0
2007,SL_EMP_FTLINJUR,,Male,9.433242
2008,SL_EMP_FTLINJUR,,Male,9.428221
2009,SL_EMP_FTLINJUR,,Male,8.731604
2010,SL_EMP_FTLINJUR,,Male,11.770296
2011,SL_EMP_FTLINJUR,,Male,8.78764
2012,SL_EMP_FTLINJUR,,Male,9.937867
2013,SL_EMP_FTLINJUR,,Male,11.469205
2014,SL_EMP_FTLINJUR,,Male,6.37419
2015,SL_EMP_FTLINJUR,,Male,7.992529
2016,SL_EMP_FTLINJUR,,Male,10.398988
2017,SL_EMP_FTLINJUR,,Male,14.357973
2018,SL_EMP_FTLINJUR,,Male,2.84789
2019,SL_EMP_FTLINJUR,,Male,6.237574
2007,SL_EMP_FTLINJUR,Batken,,3.728144
2008,SL_EMP_FTLINJUR,Batken,,4.071661
2009,SL_EMP_FTLINJUR,Batken,,21.645959
