Year,REF_AREA,URBANISATION,GeoCode,Value
2022,KG03,,KG03,21.9
2013,KG03,U,KG03,27.4
2014,KG03,U,KG03,28.5
2015,KG03,U,KG03,28.4
2016,KG03,U,KG03,30.6
2017,KG03,U,KG03,32.8
2018,KG03,U,KG03,35.0
2019,KG03,U,KG03,37.8
2020,KG03,U,KG03,33.8
2021,KG03,U,KG03,34.9
2022,KG03,U,KG03,35.3
2013,KG03,R,KG03,10.3
2014,KG03,R,KG03,11.8
2015,KG03,R,KG03,12.6
2016,KG03,R,KG03,15.1
2017,KG03,R,KG03,16.5
2018,KG03,R,KG03,18.0
2019,KG03,R,KG03,18.9
2020,KG03,R,KG03,18.8
2021,KG03,R,KG03,19.2
2022,KG03,R,KG03,17.6
2013,KG02,,KG02,17.4
2014,KG02,,KG02,18.8
2015,KG02,,KG02,20.9
2016,KG02,,KG02,24.1
2017,KG02,,KG02,25.8
2018,KG02,,KG02,27.2
2019,KG02,,KG02,28.8
2020,KG02,,KG02,28.0
2021,KG02,,KG02,29.6
2022,KG02,,KG02,28.0
2013,KG02,U,KG02,34.2
2014,KG02,U,KG02,33.3
2015,KG02,U,KG02,34.6
2016,KG02,U,KG02,38.8
2017,KG02,U,KG02,41.1
2018,KG02,U,KG02,38.9
2019,KG02,U,KG02,39.0
2020,KG02,U,KG02,38.7
2021,KG02,U,KG02,34.4
2022,KG02,U,KG02,44.9
2013,KG02,R,KG02,9.4
2014,KG02,R,KG02,11.1
2015,KG02,R,KG02,12.8
2016,KG02,R,KG02,15.8
2017,KG02,R,KG02,17.7
2018,KG02,R,KG02,18.9
2019,KG02,R,KG02,22.9
2020,KG02,R,KG02,22.0
2021,KG02,R,KG02,26.7
2022,KG02,R,KG02,21.5
2013,KG04,,KG04,19.6
2014,KG04,,KG04,25.7
2015,KG04,,KG04,22.3
2016,KG04,,KG04,26.6
2017,KG04,,KG04,31.6
2018,KG04,,KG04,34.2
2019,KG04,,KG04,35.6
2020,KG04,,KG04,35.1
2021,KG04,,KG04,37.1
2022,KG04,,KG04,36.2
2013,KG04,U,KG04,32.6
2014,KG04,U,KG04,36.8
2015,KG04,U,KG04,17.2
2016,KG04,U,KG04,39.7
2017,KG04,U,KG04,44.8
2018,KG04,U,KG04,50.9
2019,KG04,U,KG04,51.0
2020,KG04,U,KG04,45.1
2021,KG04,U,KG04,51.1
2022,KG04,U,KG04,53.1
2013,KG04,R,KG04,17.5
2014,KG04,R,KG04,23.7
2015,KG04,R,KG04,9.8
2016,KG04,R,KG04,24.3
2017,KG04,R,KG04,29.2
2018,KG04,R,KG04,31.1
2019,KG04,R,KG04,32.9
2020,KG04,R,KG04,33.3
2021,KG04,R,KG04,34.7
2022,KG04,R,KG04,33.4
2013,KG06,,KG06,11.6
2014,KG06,,KG06,13.1
2015,KG06,,KG06,14.3
2016,KG06,,KG06,16.3
2017,KG06,,KG06,17.2
2018,KG06,,KG06,18.2
2019,KG06,,KG06,19.7
2020,KG06,,KG06,19.4
2021,KG06,,KG06,19.5
2022,KG06,,KG06,20.2
2013,KG06,U,KG06,15.0
2014,KG06,U,KG06,16.4
2015,KG06,U,KG06,15.2
2016,KG06,U,KG06,18.1
2017,KG06,U,KG06,17.7
2018,KG06,U,KG06,15.6
2019,KG06,U,KG06,17.0
2020,KG06,U,KG06,13.0
2021,KG06,U,KG06,10.8
2022,KG06,U,KG06,15.4
2013,KG06,R,KG06,11.4
2014,KG06,R,KG06,12.9
2015,KG06,R,KG06,14.2
2016,KG06,R,KG06,16.2
2017,KG06,R,KG06,17.2
2018,KG06,R,KG06,18.4
2019,KG06,R,KG06,19.9
2020,KG06,R,KG06,19.9
2021,KG06,R,KG06,20.2
2022,KG06,R,KG06,20.5
2013,KG07,,KG07,14.4
2014,KG07,,KG07,17.0
2015,KG07,,KG07,20.6
2016,KG07,,KG07,20.8
2017,KG07,,KG07,22.2
2018,KG07,,KG07,24.4
2019,KG07,,KG07,26.4
2020,KG07,,KG07,26.2
2021,KG07,,KG07,28.5
2022,KG07,,KG07,27.1
2013,KG07,U,KG07,49.4
2014,KG07,U,KG07,58.4
2015,KG07,U,KG07,66.1
2016,KG07,U,KG07,65.6
2017,KG07,U,KG07,67.1
2018,KG07,U,KG07,65.9
2019,KG07,U,KG07,65.3
2020,KG07,U,KG07,52.8
2021,KG07,U,KG07,56.8
2022,KG07,U,KG07,36.1
2013,KG07,R,KG07,10.3
2014,KG07,R,KG07,12.3
2015,KG07,R,KG07,15.8
2016,KG07,R,KG07,16.0
2017,KG07,R,KG07,17.3
2018,KG07,R,KG07,19.3
2019,KG07,R,KG07,21.4
2020,KG07,R,KG07,22.5
2021,KG07,R,KG07,24.4
2022,KG07,R,KG07,25.2
2013,KG08,,KG08,12.5
2014,KG08,,KG08,16.0
2015,KG08,,KG08,16.5
2016,KG08,,KG08,18.5
2017,KG08,,KG08,19.3
2018,KG08,,KG08,21.1
2019,KG08,,KG08,21.8
2020,KG08,,KG08,20.1
2021,KG08,,KG08,21.7
2022,KG08,,KG08,24.2
2013,KG08,U,KG08,24.3
2014,KG08,U,KG08,27.6
2015,KG08,U,KG08,26.3
2016,KG08,U,KG08,30.0
2017,KG08,U,KG08,32.3
2018,KG08,U,KG08,33.5
2019,KG08,U,KG08,35.2
2020,KG08,U,KG08,33.6
2021,KG08,U,KG08,35.1
2022,KG08,U,KG08,46.5
2013,KG08,R,KG08,9.3
2014,KG08,R,KG08,12.6
2015,KG08,R,KG08,13.3
2016,KG08,R,KG08,14.9
2017,KG08,R,KG08,15.5
2018,KG08,R,KG08,17.7
2019,KG08,R,KG08,18.4
2020,KG08,R,KG08,16.9
2021,KG08,R,KG08,18.6
2022,KG08,R,KG08,20.3
2013,KG11,U,KG11,31.0
2014,KG11,U,KG11,29.4
2015,KG11,U,KG11,27.9
2016,KG11,U,KG11,28.0
2017,KG11,U,KG11,29.6
2018,KG11,U,KG11,29.5
2019,KG11,U,KG11,28.2
2020,KG11,U,KG11,23.5
2021,KG11,U,KG11,22.2
2022,KG11,U,KG11,40.5
2013,KG21,U,KG21,41.9
2014,KG21,U,KG21,49.7
2015,KG21,U,KG21,48.2
2016,KG21,U,KG21,49.4
2017,KG21,U,KG21,47.9
2018,KG21,U,KG21,48.8
2019,KG21,U,KG21,43.3
2020,KG21,U,KG21,30.7
2021,KG21,U,KG21,29.0
2022,KG21,U,KG21,44.5
