Year,Series,Территория,Units,Value
2010,_L_KG_060401_2B,Иссык-Кульская область,PT,29.7
2011,_L_KG_060401_2B,Иссык-Кульская область,PT,17.1
2012,_L_KG_060401_2B,Иссык-Кульская область,PT,18.8
2013,_L_KG_060401_2B,Иссык-Кульская область,PT,27.7
2014,_L_KG_060401_2B,Иссык-Кульская область,PT,31.6
2015,_L_KG_060401_2B,Иссык-Кульская область,PT,27.3
2016,_L_KG_060401_2B,Иссык-Кульская область,PT,31.5
2017,_L_KG_060401_2B,Иссык-Кульская область,PT,29.6
2018,_L_KG_060401_2B,Иссык-Кульская область,PT,31.2
2019,_L_KG_060401_2B,Иссык-Кульская область,PT,31.5
2010,_L_KG_060401_2B,Нарынская область,PT,31.9
2011,_L_KG_060401_2B,Нарынская область,PT,30.8
2012,_L_KG_060401_2B,Нарынская область,PT,30.5
2013,_L_KG_060401_2B,Нарынская область,PT,30.6
2014,_L_KG_060401_2B,Нарынская область,PT,32.4
2015,_L_KG_060401_2B,Нарынская область,PT,30.5
2016,_L_KG_060401_2B,Нарынская область,PT,29.9
2017,_L_KG_060401_2B,Нарынская область,PT,30.4
2018,_L_KG_060401_2B,Нарынская область,PT,30.3
2019,_L_KG_060401_2B,Нарынская область,PT,30.4
2010,_L_KG_060401_2B,Ошская область,PT,17.1
2011,_L_KG_060401_2B,Ошская область,PT,17.8
2012,_L_KG_060401_2B,Ошская область,PT,26.8
2013,_L_KG_060401_2B,Ошская область,PT,25.3
2014,_L_KG_060401_2B,Ошская область,PT,20.5
2015,_L_KG_060401_2B,Ошская область,PT,19.5
2016,_L_KG_060401_2B,Ошская область,PT,21.9
2017,_L_KG_060401_2B,Ошская область,PT,25.3
2018,_L_KG_060401_2B,Ошская область,PT,25.6
2019,_L_KG_060401_2B,Ошская область,PT,26.3
2010,_L_KG_060401_2B,Таласская область,PT,27.6
2011,_L_KG_060401_2B,Таласская область,PT,28.7
2012,_L_KG_060401_2B,Таласская область,PT,29.2
2013,_L_KG_060401_2B,Таласская область,PT,30.1
2014,_L_KG_060401_2B,Таласская область,PT,29.2
2015,_L_KG_060401_2B,Таласская область,PT,30.6
2016,_L_KG_060401_2B,Таласская область,PT,31.1
2017,_L_KG_060401_2B,Таласская область,PT,30.3
2018,_L_KG_060401_2B,Таласская область,PT,31.1
2019,_L_KG_060401_2B,Таласская область,PT,31.6
2010,_L_KG_060401_2B,Чуйская область,PT,22.4
2011,_L_KG_060401_2B,Чуйская область,PT,22.9
2012,_L_KG_060401_2B,Чуйская область,PT,26.1
2013,_L_KG_060401_2B,Чуйская область,PT,25.5
2014,_L_KG_060401_2B,Чуйская область,PT,27.0
2015,_L_KG_060401_2B,Чуйская область,PT,36.2
2016,_L_KG_060401_2B,Чуйская область,PT,26.0
2017,_L_KG_060401_2B,Чуйская область,PT,32.2
2018,_L_KG_060401_2B,Чуйская область,PT,29.9
2019,_L_KG_060401_2B,Чуйская область,PT,30.3
2010,_L_KG_060401_2B,г. Бишкек,PT,18.2
2011,_L_KG_060401_2B,г. Бишкек,PT,22.0
2013,_L_KG_060401_2B,г. Бишкек,PT,20.9
2014,_L_KG_060401_2B,г. Бишкек,PT,21.0
2015,_L_KG_060401_2B,г. Бишкек,PT,21.0
2016,_L_KG_060401_2B,г. Бишкек,PT,21.0
2017,_L_KG_060401_2B,г. Бишкек,PT,20.9
2018,_L_KG_060401_2B,г. Бишкек,PT,20.8
2019,_L_KG_060401_2B,г. Бишкек,PT,19.3
2017,_L_KG_060401_2B,г. Ош,PT,12.0
2018,_L_KG_060401_2B,г. Ош,PT,12.0
2019,_L_KG_060401_2B,г. Ош,PT,11.9
