Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2017,VC_IHR_PSRCN,,F,,NUMBER,,62
2018,VC_IHR_PSRCN,,F,,NUMBER,,41
2019,VC_IHR_PSRCN,,F,,NUMBER,,43
2020,VC_IHR_PSRCN,,F,,NUMBER,,37
2021,VC_IHR_PSRCN,,F,,NUMBER,,38
2022,VC_IHR_PSRCN,,F,,NUMBER,,43
2023,VC_IHR_PSRCN,,F,,NUMBER,,21
2014,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,12
2015,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,13
2016,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,11
2017,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,6
2018,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,13
2019,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,21
2020,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,19
2021,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,14
2022,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,8
2023,VC_IHR_PSRCN,KG05,,,NUMBER,KG05,7
2014,VC_IHR_PSRCN,KG05,M,,NUMBER,KG05,12
2015,VC_IHR_PSRCN,KG05,M,,NUMBER,KG05,11
2016,VC_IHR_PSRCN,KG05,M,,NUMBER,KG05,9
2017,VC_IHR_PSRCN,KG05,M,,NUMBER,KG05,4
2018,VC_IHR_PSRCN,KG05,M,,NUMBER,KG05,10
2019,VC_IHR_PSRCN,KG05,M,,NUMBER,KG05,18
2020,VC_IHR_PSRCN,KG05,M,,NUMBER,KG05,16
2021,VC_IHR_PSRCN,KG05,M,,NUMBER,KG05,12
2022,VC_IHR_PSRCN,KG05,M,,NUMBER,KG05,5
2015,VC_IHR_PSRCN,KG05,F,,NUMBER,KG05,2
2016,VC_IHR_PSRCN,KG05,F,,NUMBER,KG05,2
2017,VC_IHR_PSRCN,KG05,F,,NUMBER,KG05,2
2018,VC_IHR_PSRCN,KG05,F,,NUMBER,KG05,3
2019,VC_IHR_PSRCN,KG05,F,,NUMBER,KG05,3
2020,VC_IHR_PSRCN,KG05,F,,NUMBER,KG05,3
2021,VC_IHR_PSRCN,KG05,F,,NUMBER,KG05,2
2022,VC_IHR_PSRCN,KG05,F,,NUMBER,KG05,3
2014,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,39
2015,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,43
2016,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,30
2017,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,20
2018,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,19
2019,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,21
2020,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,31
2021,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,16
2022,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,18
2023,VC_IHR_PSRCN,KG03,,,NUMBER,KG03,11
2014,VC_IHR_PSRCN,KG03,M,,NUMBER,KG03,29
2015,VC_IHR_PSRCN,KG03,M,,NUMBER,KG03,31
2016,VC_IHR_PSRCN,KG03,M,,NUMBER,KG03,22
2017,VC_IHR_PSRCN,KG03,M,,NUMBER,KG03,12
2018,VC_IHR_PSRCN,KG03,M,,NUMBER,KG03,17
2019,VC_IHR_PSRCN,KG03,M,,NUMBER,KG03,16
2020,VC_IHR_PSRCN,KG03,M,,NUMBER,KG03,23
2021,VC_IHR_PSRCN,KG03,M,,NUMBER,KG03,13
2022,VC_IHR_PSRCN,KG03,M,,NUMBER,KG03,13
2014,VC_IHR_PSRCN,KG03,F,,NUMBER,KG03,10
2015,VC_IHR_PSRCN,KG03,F,,NUMBER,KG03,12
2016,VC_IHR_PSRCN,KG03,F,,NUMBER,KG03,8
2017,VC_IHR_PSRCN,KG03,F,,NUMBER,KG03,8
2018,VC_IHR_PSRCN,KG03,F,,NUMBER,KG03,2
2019,VC_IHR_PSRCN,KG03,F,,NUMBER,KG03,5
2020,VC_IHR_PSRCN,KG03,F,,NUMBER,KG03,8
2021,VC_IHR_PSRCN,KG03,F,,NUMBER,KG03,3
2022,VC_IHR_PSRCN,KG03,F,,NUMBER,KG03,5
2014,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,31
2015,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,28
2016,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,27
2017,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,23
2018,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,15
2019,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,18
2020,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,12
2021,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,11
2022,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,14
2023,VC_IHR_PSRCN,KG02,,,NUMBER,KG02,10
2014,VC_IHR_PSRCN,KG02,M,,NUMBER,KG02,17
2015,VC_IHR_PSRCN,KG02,M,,NUMBER,KG02,19
2016,VC_IHR_PSRCN,KG02,M,,NUMBER,KG02,20
2017,VC_IHR_PSRCN,KG02,M,,NUMBER,KG02,17
2018,VC_IHR_PSRCN,KG02,M,,NUMBER,KG02,14
2019,VC_IHR_PSRCN,KG02,M,,NUMBER,KG02,15
2020,VC_IHR_PSRCN,KG02,M,,NUMBER,KG02,9
2021,VC_IHR_PSRCN,KG02,M,,NUMBER,KG02,8
2022,VC_IHR_PSRCN,KG02,M,,NUMBER,KG02,10
2014,VC_IHR_PSRCN,KG02,F,,NUMBER,KG02,14
2015,VC_IHR_PSRCN,KG02,F,,NUMBER,KG02,9
2016,VC_IHR_PSRCN,KG02,F,,NUMBER,KG02,7
