Year,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,COMPOSITE_BREAKDOWN,GeoCode,Value
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,16
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,19
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,13
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,6
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,4
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,4
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,15
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,19
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,17
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,11
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,7
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,6
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,11
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,11
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,9
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,12
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,13
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,9
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,6
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,4
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,6
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,3
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,4
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,5
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,4
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,1
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,4
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,7
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,3
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,2
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,4
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,3
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,6
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,4
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,13
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,12
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,19
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,6
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,7
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,19
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,20
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,11
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,11
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,7
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,16
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,12
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,10
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,23
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,14
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,7
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,7
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,3
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,3
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,5
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,4
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,4
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,14
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,11
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,10
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,7
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,70
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,49
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,32
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,57
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,40
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,5
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,1
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,3
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0
2024,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0
