Year,REF_AREA,SEX,GeoCode,Value
2010,KG03,F,KG03,1.6
2011,KG03,F,KG03,1.632109
2012,KG03,F,KG03,1.61962
2013,KG03,F,KG03,1.59998
2014,KG03,F,KG03,1.6
2015,KG03,F,KG03,1.6
2016,KG03,F,KG03,1.6
2017,KG03,F,KG03,1.6
2018,KG03,F,KG03,1.6
2019,KG03,F,KG03,1.741229
2020,KG03,F,KG03,1.6
2021,KG03,F,KG03,1.516039
2010,KG03,M,KG03,1.0
2011,KG03,M,KG03,1.009636
2012,KG03,M,KG03,1.01755
2013,KG03,M,KG03,1.059774
2014,KG03,M,KG03,1.0
2015,KG03,M,KG03,1.0
2016,KG03,M,KG03,1.0
2017,KG03,M,KG03,1.0
2018,KG03,M,KG03,0.9
2019,KG03,M,KG03,1.18494
2020,KG03,M,KG03,0.9
2021,KG03,M,KG03,0.826976
2010,KG02,,KG02,1.4
2011,KG02,,KG02,1.475437
2012,KG02,,KG02,1.438075
2013,KG02,,KG02,1.426316
2014,KG02,,KG02,1.4
2015,KG02,,KG02,1.4
2016,KG02,,KG02,1.4
2017,KG02,,KG02,1.3
2018,KG02,,KG02,1.3
2019,KG02,,KG02,1.37083
2020,KG02,,KG02,1.3
2021,KG02,,KG02,1.284836
2010,KG02,F,KG02,2.1
2011,KG02,F,KG02,2.195846
2012,KG02,F,KG02,2.179603
2013,KG02,F,KG02,2.156759
2014,KG02,F,KG02,2.1
2015,KG02,F,KG02,2.1
2016,KG02,F,KG02,2.1
2017,KG02,F,KG02,2.0
2018,KG02,F,KG02,2.0
2019,KG02,F,KG02,2.036455
2020,KG02,F,KG02,2.0
2021,KG02,F,KG02,1.916991
2010,KG02,M,KG02,0.7
2011,KG02,M,KG02,0.742835
2012,KG02,M,KG02,0.684743
2013,KG02,M,KG02,0.685347
2014,KG02,M,KG02,0.7
2015,KG02,M,KG02,0.7
2016,KG02,M,KG02,0.7
2017,KG02,M,KG02,0.6
2018,KG02,M,KG02,0.7
2019,KG02,M,KG02,0.700155
2020,KG02,M,KG02,0.6
2021,KG02,M,KG02,0.647193
2010,KG04,,KG04,1.4
2011,KG04,,KG04,1.370085
2012,KG04,,KG04,1.350247
2013,KG04,,KG04,1.297285
2014,KG04,,KG04,1.3
2015,KG04,,KG04,1.3
2016,KG04,,KG04,1.3
2017,KG04,,KG04,1.3
2018,KG04,,KG04,1.3
2019,KG04,,KG04,1.211929
2020,KG04,,KG04,1.1
2021,KG04,,KG04,1.131456
2010,KG04,F,KG04,2.1
2011,KG04,F,KG04,2.04427
2012,KG04,F,KG04,2.037431
2013,KG04,F,KG04,1.998697
2014,KG04,F,KG04,2.0
2015,KG04,F,KG04,2.0
2016,KG04,F,KG04,1.9
2017,KG04,F,KG04,1.9
2018,KG04,F,KG04,1.9
2019,KG04,F,KG04,1.786669
2020,KG04,F,KG04,1.7
2021,KG04,F,KG04,1.703153
2010,KG04,M,KG04,0.0
2011,KG04,M,KG04,0.0
2012,KG04,M,KG04,0.0
2013,KG04,M,KG04,0.0
2014,KG04,M,KG04,0.0
2015,KG04,M,KG04,0.0
2016,KG04,M,KG04,0.0
2017,KG04,M,KG04,0.0
2018,KG04,M,KG04,0.0
2019,KG04,M,KG04,0.0
2020,KG04,M,KG04,0.6
2021,KG04,M,KG04,0.580491
2010,KG06,,KG06,1.4
2011,KG06,,KG06,1.436724
2012,KG06,,KG06,1.439638
2013,KG06,,KG06,1.466753
2014,KG06,,KG06,1.5
2015,KG06,,KG06,1.5
2016,KG06,,KG06,1.5
2017,KG06,,KG06,1.5
2018,KG06,,KG06,1.5
2019,KG06,,KG06,1.4919
2020,KG06,,KG06,1.5
2021,KG06,,KG06,1.429309
2010,KG06,F,KG06,1.4
2011,KG06,F,KG06,1.472198
2012,KG06,F,KG06,1.501135
2013,KG06,F,KG06,1.49681
2014,KG06,F,KG06,1.6
2015,KG06,F,KG06,1.6
2016,KG06,F,KG06,1.6
2017,KG06,F,KG06,1.6
2018,KG06,F,KG06,1.6
2019,KG06,F,KG06,1.672535
2020,KG06,F,KG06,1.6
2021,KG06,F,KG06,1.600124
2010,KG06,M,KG06,1.4
2011,KG06,M,KG06,1.401738
2012,KG06,M,KG06,1.379051
2013,KG06,M,KG06,1.437164
2014,KG06,M,KG06,1.4
2015,KG06,M,KG06,1.4
2016,KG06,M,KG06,1.4
2017,KG06,M,KG06,1.4
2018,KG06,M,KG06,1.4
2019,KG06,M,KG06,1.315343
2020,KG06,M,KG06,1.3
2021,KG06,M,KG06,1.262321
2010,KG07,,KG07,1.3
2011,KG07,,KG07,1.304568
2012,KG07,,KG07,1.252578
2013,KG07,,KG07,1.269907
2014,KG07,,KG07,1.2
2015,KG07,,KG07,1.3
2016,KG07,,KG07,1.2
2017,KG07,,KG07,1.2
2018,KG07,,KG07,1.2
2019,KG07,,KG07,1.125823
2020,KG07,,KG07,1.1
2021,KG07,,KG07,1.065581
2010,KG07,F,KG07,1.6
2011,KG07,F,KG07,1.675156
2012,KG07,F,KG07,1.605109
2013,KG07,F,KG07,1.68077
2014,KG07,F,KG07,1.6
2015,KG07,F,KG07,1.6
2016,KG07,F,KG07,1.6
2017,KG07,F,KG07,1.6
2018,KG07,F,KG07,1.6
2019,KG07,F,KG07,1.558752
2020,KG07,F,KG07,1.5
2021,KG07,F,KG07,1.459768
2010,KG07,M,KG07,1.0
2011,KG07,M,KG07,0.93811
2012,KG07,M,KG07,0.904482
2013,KG07,M,KG07,0.864974
2014,KG07,M,KG07,0.9
2015,KG07,M,KG07,1.0
2016,KG07,M,KG07,0.8
2017,KG07,M,KG07,0.8
2018,KG07,M,KG07,0.8
2019,KG07,M,KG07,0.702647
2020,KG07,M,KG07,0.7
2021,KG07,M,KG07,0.679235
2010,KG08,,KG08,1.4
2011,KG08,,KG08,1.496509
2012,KG08,,KG08,1.438555
2013,KG08,,KG08,1.389206
2014,KG08,,KG08,1.4
2015,KG08,,KG08,1.4
2016,KG08,,KG08,1.4
2017,KG08,,KG08,1.3
2018,KG08,,KG08,1.3
2019,KG08,,KG08,1.289739
2020,KG08,,KG08,1.2
