Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,GeoCode,Value
2023,_L_KG_040101_12,,,,,,ISCED11_2,,,,42.0
2018,_L_KG_040101_12,,,,,,ISCED11_3,,,,51.3
2023,_L_KG_040101_12,,,,,,ISCED11_3,,,,55.5
2018,_L_KG_040101_12,,,,,,ISCED11_4,,,,49.5
2023,_L_KG_040101_12,,,,,,ISCED11_4,,,,62.5
2018,_L_KG_040101_12,,,,,,ISCED11_6_7,,,,58.2
2023,_L_KG_040101_12,,,,,,ISCED11_6_7,,,,60.1
2018,_L_KG_040101_12,,,,,,,,_L_CHD,,39.0
2023,_L_KG_040101_12,,,,,,,,_L_CHD,,44.9
2018,_L_KG_040101_12,,,,,,,,_L_CHWD,,52.6
2023,_L_KG_040101_12,,,,,,,,_L_CHWD,,57.7
2018,_L_KG_040101_12,,,,,,,,_L_MD,,47.9
2023,_L_KG_040101_12,,,,,,,,_L_MD,,56.5
2018,_L_KG_040101_12,,,,,,,,_L_MWD,,52.0
2023,_L_KG_040101_12,,,,,,,,_L_MWD,,55.2
2018,_L_KG_040101_12,,,,,,,,_U,,49.1
2018,_L_KG_040101_12,,,,,Q1,,,,,50.8
2023,_L_KG_040101_12,,,,,Q1,,,,,57.1
2018,_L_KG_040101_12,,,,,Q2,,,,,42.6
2023,_L_KG_040101_12,,,,,Q2,,,,,50.8
2018,_L_KG_040101_12,,,,,Q3,,,,,52.1
2023,_L_KG_040101_12,,,,,Q3,,,,,54.3
2018,_L_KG_040101_12,,,,,Q4,,,,,50.1
2023,_L_KG_040101_12,,,,,Q4,,,,,59.2
2018,_L_KG_040101_12,,,,,Q5,,,,,64.4
2023,_L_KG_040101_12,,,,,Q5,,,,,65.5
