Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,GeoCode,Value
2021,,,,,,ISCED11_1,,68.757203
2022,,,,,,ISCED11_1,,72.737995
2023,,,,,,ISCED11_1,,65.622676
2018,,,,,,ISCED11_2,,63.3
2019,,,,,,ISCED11_2,,65.183411
2020,,,,,,ISCED11_2,,67.5
2021,,,,,,ISCED11_2,,69.036541
2022,,,,,,ISCED11_2,,69.21831
2023,,,,,,ISCED11_2,,73.433152
2018,,,,,,ISCED11_3,,57.7
2019,,,,,,ISCED11_3,,62.824591
2020,,,,,,ISCED11_3,,64.1
2021,,,,,,ISCED11_3,,66.56856
2022,,,,,,ISCED11_3,,68.755034
2023,,,,,,ISCED11_3,,70.983653
2018,,,,,,ISCED11_4,,59.7
2019,,,,,,ISCED11_4,,68.13387
2020,,,,,,ISCED11_4,,70.8
2021,,,,,,ISCED11_4,,68.036801
2022,,,,,,ISCED11_4,,67.911205
2023,,,,,,ISCED11_4,,67.351453
2018,,,,,,ISCED11_6_7,,53.7
2019,,,,,,ISCED11_6_7,,64.482244
2020,,,,,,ISCED11_6_7,,69.3
2021,,,,,,ISCED11_6_7,,66.45361
2022,,,,,,ISCED11_6_7,,66.756483
2023,,,,,,ISCED11_6_7,,68.419794
2018,,,,,Q1,,,52.386927
2019,,,,,Q1,,,55.414275
2020,,,,,Q1,,,58.2
2021,,,,,Q1,,,56.365186
2022,,,,,Q1,,,66.577621
2023,,,,,Q1,,,70.130694
2018,,,,,Q2,,,58.140586
2019,,,,,Q2,,,63.171549
2020,,,,,Q2,,,69.7
2021,,,,,Q2,,,67.44355
2022,,,,,Q2,,,68.286079
2023,,,,,Q2,,,72.588099
2018,,,,,Q3,,,57.911249
2019,,,,,Q3,,,65.795777
2020,,,,,Q3,,,71.5
2021,,,,,Q3,,,70.313406
2022,,,,,Q3,,,69.211572
2023,,,,,Q3,,,66.388091
2018,,,,,Q4,,,60.870536
2019,,,,,Q4,,,69.928679
2020,,,,,Q4,,,68.3
2021,,,,,Q4,,,71.713307
2022,,,,,Q4,,,65.088281
2023,,,,,Q4,,,69.181635
2018,,,,,Q5,,,59.232205
2019,,,,,Q5,,,65.727946
2020,,,,,Q5,,,67.8
2021,,,,,Q5,,,71.8874
2022,,,,,Q5,,,74.316189
2023,,,,,Q5,,,71.420435
