Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,GeoCode,Value
2019,,,,,,ISCED11_5,,5.5
2020,,,,,,ISCED11_5,,4.9
2021,,,,,,ISCED11_5,,4.1
2022,,,,,,ISCED11_5,,3.380007
2023,,,,,,ISCED11_5,,3.200181
2018,,,,,Q1,,,8.0
2019,,,,,Q1,,,8.2
2020,,,,,Q1,,,7.9
2021,,,,,Q1,,,6.4
2022,,,,,Q1,,,4.735741
2023,,,,,Q1,,,6.137469
2018,,,,,Q2,,,7.4
2019,,,,,Q2,,,7.8
2020,,,,,Q2,,,6.9
2021,,,,,Q2,,,6.2
2022,,,,,Q2,,,4.766466
2023,,,,,Q2,,,5.522717
2018,,,,,Q3,,,8.5
2019,,,,,Q3,,,7.7
2020,,,,,Q3,,,8.0
2021,,,,,Q3,,,5.4
2022,,,,,Q3,,,5.420931
2023,,,,,Q3,,,5.959494
2018,,,,,Q4,,,8.5
2019,,,,,Q4,,,8.0
2020,,,,,Q4,,,7.2
2021,,,,,Q4,,,6.6
2022,,,,,Q4,,,6.491722
2023,,,,,Q4,,,5.483189
2018,,,,,Q5,,,9.6
2019,,,,,Q5,,,8.8
2020,,,,,Q5,,,8.1
2021,,,,,Q5,,,7.2
2022,,,,,Q5,,,6.423111
2023,,,,,Q5,,,5.761275
