Year,Множитель,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2009,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,90.0
2010,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,91.5
2014,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,135.2
2015,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,145.9
2016,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,140.7
2017,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,163.5
2018,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,192.8
2019,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,192.8
2020,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,208.6
2021,Миллионы,Объем грузовых перевозок (тонн-километров),Вид транспорта: Трубопроводный,Метрические тонны,248.0
2007,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,4.8
2008,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,8.0
2009,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,4.4
2010,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,3.0
2014,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,2.8
2015,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,2.3
2016,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,0.5
2017,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,0.0
2007,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,47.1
2008,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,59.4
2009,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,45.4
2010,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,64.4
2014,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,83.4
2015,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,57.4
2016,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,16.9
2017,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,13.1
2018,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,9.8
2019,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,8.5
2020,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,7.2
2021,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,20.7
