Year,Value,Units,Series
2018,23747.690011,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1E
2010,105.6,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1F
2011,130.62446,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1F
2012,115.384261,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1F
2013,106.528605,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1F
2014,95.30386,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1F
2015,73.989322,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1F
2016,98.878752,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1F
2017,112.297259,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1F
2018,113.896789,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1F
2010,1755.9245,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1G
2011,2242.1664,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1G
2012,1927.6232,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1G
2013,2006.8497,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1G
2014,1883.733456,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1G
2015,1482.942034,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1G
2016,1573.21493,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1G
2017,1764.254644,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1G
2018,1836.838696,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1G
2010,3222.772182,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1H
2011,4261.226418,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1H
2012,5576.264131,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1H
2013,5986.983003,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1H
2014,5734.703808,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1H
2015,4153.86051,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1H
2016,4000.442107,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1H
2017,4494.728178,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1H
2018,5291.945776,CL_UNIT_MEASURE.USD,CL_SERIES._L_KG_171301_1H
