Year,Территория,GeoCode,Value
2011,Таласская область,KG07,293
2012,Таласская область,KG07,411
2013,Таласская область,KG07,474
2014,Таласская область,KG07,571
2015,Таласская область,KG07,599
2016,Таласская область,KG07,598
2017,Таласская область,KG07,639
2018,Таласская область,KG07,572
2019,Таласская область,KG07,644
2020,Таласская область,KG07,673
2021,Таласская область,KG07,1166
2022,Таласская область,KG07,1440
2023,Таласская область,KG07,1492
2024,Таласская область,KG07,1935
2006,Чуйская область,KG08,257
2007,Чуйская область,KG08,302
2008,Чуйская область,KG08,371
2009,Чуйская область,KG08,399
2010,Чуйская область,KG08,373
2011,Чуйская область,KG08,524
2012,Чуйская область,KG08,515
2013,Чуйская область,KG08,580
2014,Чуйская область,KG08,694
2015,Чуйская область,KG08,848
2016,Чуйская область,KG08,887
2017,Чуйская область,KG08,982
2018,Чуйская область,KG08,846
2019,Чуйская область,KG08,870
2020,Чуйская область,KG08,826
2021,Чуйская область,KG08,1063
2022,Чуйская область,KG08,1379
2023,Чуйская область,KG08,1701
2024,Чуйская область,KG08,2126
2006,г. Бишкек,KG11,453
2007,г. Бишкек,KG11,596
2008,г. Бишкек,KG11,797
2009,г. Бишкек,KG11,846
2010,г. Бишкек,KG11,902
2011,г. Бишкек,KG11,1152
2012,г. Бишкек,KG11,1317
2013,г. Бишкек,KG11,1468
2014,г. Бишкек,KG11,1599
2015,г. Бишкек,KG11,1623
2016,г. Бишкек,KG11,1810
2017,г. Бишкек,KG11,1968
2018,г. Бишкек,KG11,2242
2019,г. Бишкек,KG11,2521
2020,г. Бишкек,KG11,2332
2021,г. Бишкек,KG11,2924
2022,г. Бишкек,KG11,3701
2023,г. Бишкек,KG11,5153
2024,г. Бишкек,KG11,5687
2006,г. Ош,KG21,176
2007,г. Ош,KG21,182
2008,г. Ош,KG21,244
2009,г. Ош,KG21,277
2010,г. Ош,KG21,251
2011,г. Ош,KG21,376
2012,г. Ош,KG21,650
2013,г. Ош,KG21,734
2014,г. Ош,KG21,855
2015,г. Ош,KG21,871
2016,г. Ош,KG21,953
2017,г. Ош,KG21,1125
2018,г. Ош,KG21,1056
2019,г. Ош,KG21,1148
2020,г. Ош,KG21,1096
2021,г. Ош,KG21,1241
2022,г. Ош,KG21,1657
2023,г. Ош,KG21,2055
2024,г. Ош,KG21,1898
