Year,Территория,Тип местности,Value
2019,Джалал-Абадская область,Городская,37.8
2020,Джалал-Абадская область,Городская,33.8
2013,Джалал-Абадская область,Сельская,10.3
2014,Джалал-Абадская область,Сельская,11.8
2015,Джалал-Абадская область,Сельская,12.6
2016,Джалал-Абадская область,Сельская,15.1
2017,Джалал-Абадская область,Сельская,16.5
2018,Джалал-Абадская область,Сельская,18.0
2019,Джалал-Абадская область,Сельская,18.9
2020,Джалал-Абадская область,Сельская,18.8
2013,Иссык-Кульская область,,17.4
2014,Иссык-Кульская область,,18.8
2015,Иссык-Кульская область,,20.9
2016,Иссык-Кульская область,,24.1
2017,Иссык-Кульская область,,25.8
2018,Иссык-Кульская область,,27.2
2019,Иссык-Кульская область,,28.8
2020,Иссык-Кульская область,,28.0
2013,Иссык-Кульская область,Городская,34.2
2014,Иссык-Кульская область,Городская,33.3
2015,Иссык-Кульская область,Городская,34.6
2016,Иссык-Кульская область,Городская,38.8
2017,Иссык-Кульская область,Городская,41.1
2018,Иссык-Кульская область,Городская,38.9
2019,Иссык-Кульская область,Городская,39.0
2020,Иссык-Кульская область,Городская,38.7
2013,Иссык-Кульская область,Сельская,9.4
2014,Иссык-Кульская область,Сельская,11.1
2015,Иссык-Кульская область,Сельская,12.8
2016,Иссык-Кульская область,Сельская,15.8
2017,Иссык-Кульская область,Сельская,17.7
2018,Иссык-Кульская область,Сельская,18.9
2019,Иссык-Кульская область,Сельская,22.9
2020,Иссык-Кульская область,Сельская,22.0
2013,Нарынская область,,19.6
2014,Нарынская область,,25.7
2015,Нарынская область,,22.3
2016,Нарынская область,,26.6
2017,Нарынская область,,31.6
2018,Нарынская область,,34.2
2019,Нарынская область,,35.6
2020,Нарынская область,,35.1
2013,Нарынская область,Городская,32.6
2014,Нарынская область,Городская,36.8
2015,Нарынская область,Городская,17.2
2016,Нарынская область,Городская,39.7
2017,Нарынская область,Городская,44.8
2018,Нарынская область,Городская,50.9
2019,Нарынская область,Городская,51.0
2020,Нарынская область,Городская,45.1
2013,Нарынская область,Сельская,17.5
2014,Нарынская область,Сельская,23.7
2015,Нарынская область,Сельская,9.8
2016,Нарынская область,Сельская,24.3
2017,Нарынская область,Сельская,29.2
2018,Нарынская область,Сельская,31.1
2019,Нарынская область,Сельская,32.9
2020,Нарынская область,Сельская,33.3
2013,Ошская область,,11.6
2014,Ошская область,,13.1
2015,Ошская область,,14.3
2016,Ошская область,,16.3
2017,Ошская область,,17.2
2018,Ошская область,,18.2
2019,Ошская область,,19.7
2020,Ошская область,,19.4
2013,Ошская область,Городская,15.0
2014,Ошская область,Городская,16.4
2015,Ошская область,Городская,15.2
2016,Ошская область,Городская,18.1
2017,Ошская область,Городская,17.7
2018,Ошская область,Городская,15.6
2019,Ошская область,Городская,17.0
2020,Ошская область,Городская,13.0
2013,Ошская область,Сельская,11.4
2014,Ошская область,Сельская,12.9
2015,Ошская область,Сельская,14.2
2016,Ошская область,Сельская,16.2
2017,Ошская область,Сельская,17.2
2018,Ошская область,Сельская,18.4
2019,Ошская область,Сельская,19.9
2020,Ошская область,Сельская,19.9
2013,Таласская область,,14.4
2014,Таласская область,,17.0
2015,Таласская область,,20.6
2016,Таласская область,,20.8
2017,Таласская область,,22.2
2018,Таласская область,,24.4
2019,Таласская область,,26.4
2020,Таласская область,,26.2
2013,Таласская область,Городская,49.4
2014,Таласская область,Городская,58.4
2015,Таласская область,Городская,66.1
2016,Таласская область,Городская,65.6
2017,Таласская область,Городская,67.1
2018,Таласская область,Городская,65.9
2019,Таласская область,Городская,65.3
2020,Таласская область,Городская,52.8
2013,Таласская область,Сельская,10.3
2014,Таласская область,Сельская,12.3
2015,Таласская область,Сельская,15.8
2016,Таласская область,Сельская,16.0
2017,Таласская область,Сельская,17.3
2018,Таласская область,Сельская,19.3
2019,Таласская область,Сельская,21.4
2020,Таласская область,Сельская,22.5
2013,Чуйская область,,12.5
2014,Чуйская область,,16.0
2015,Чуйская область,,16.5
2016,Чуйская область,,18.5
2017,Чуйская область,,19.3
2018,Чуйская область,,21.1
2019,Чуйская область,,21.8
2020,Чуйская область,,20.1
2013,Чуйская область,Городская,24.3
2014,Чуйская область,Городская,27.6
2015,Чуйская область,Городская,26.3
2016,Чуйская область,Городская,30.0
2017,Чуйская область,Городская,32.3
2018,Чуйская область,Городская,33.5
2019,Чуйская область,Городская,35.2
2020,Чуйская область,Городская,33.6
2013,Чуйская область,Сельская,9.3
2014,Чуйская область,Сельская,12.6
2015,Чуйская область,Сельская,13.3
2016,Чуйская область,Сельская,14.9
2017,Чуйская область,Сельская,15.5
2018,Чуйская область,Сельская,17.7
2019,Чуйская область,Сельская,18.4
2020,Чуйская область,Сельская,16.9
2013,г. Бишкек,Городская,31.0
2014,г. Бишкек,Городская,29.4
2015,г. Бишкек,Городская,27.9
2016,г. Бишкек,Городская,28.0
2017,г. Бишкек,Городская,29.6
2018,г. Бишкек,Городская,29.5
2019,г. Бишкек,Городская,28.2
2020,г. Бишкек,Городская,23.5
2013,г. Ош,Городская,41.9
2014,г. Ош,Городская,49.7
2015,г. Ош,Городская,48.2
2016,г. Ош,Городская,49.4
2017,г. Ош,Городская,47.9
2018,г. Ош,Городская,48.8
2019,г. Ош,Городская,43.3
2020,г. Ош,Городская,30.7
