Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,GeoCode,Value
2018,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,4.9
2019,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,5.2
2020,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,6.4
2021,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,5.0
2022,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,4.8
2023,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,4.8
2018,SH_XPD_EARN10,,,,,Q1,,,,2.8
2019,SH_XPD_EARN10,,,,,Q1,,,,2.7
2020,SH_XPD_EARN10,,,,,Q1,,,,2.3
2021,SH_XPD_EARN10,,,,,Q1,,,,2.7
2022,SH_XPD_EARN10,,,,,Q1,,,,4.1
2023,SH_XPD_EARN10,,,,,Q1,,,,3.6
2018,SH_XPD_EARN10,,,,,Q2,,,,4.8
2019,SH_XPD_EARN10,,,,,Q2,,,,4.5
2020,SH_XPD_EARN10,,,,,Q2,,,,5.0
2021,SH_XPD_EARN10,,,,,Q2,,,,3.6
2022,SH_XPD_EARN10,,,,,Q2,,,,3.8
2023,SH_XPD_EARN10,,,,,Q2,,,,5.4
2018,SH_XPD_EARN10,,,,,Q3,,,,5.2
2019,SH_XPD_EARN10,,,,,Q3,,,,5.1
2020,SH_XPD_EARN10,,,,,Q3,,,,5.2
2021,SH_XPD_EARN10,,,,,Q3,,,,3.7
2022,SH_XPD_EARN10,,,,,Q3,,,,4.4
2023,SH_XPD_EARN10,,,,,Q3,,,,5.8
2018,SH_XPD_EARN10,,,,,Q4,,,,7.8
2019,SH_XPD_EARN10,,,,,Q4,,,,7.9
2020,SH_XPD_EARN10,,,,,Q4,,,,4.3
2021,SH_XPD_EARN10,,,,,Q4,,,,5.1
2022,SH_XPD_EARN10,,,,,Q4,,,,5.4
2023,SH_XPD_EARN10,,,,,Q4,,,,3.8
2018,SH_XPD_EARN10,,,,,Q5,,,,5.1
2019,SH_XPD_EARN10,,,,,Q5,,,,6.2
2020,SH_XPD_EARN10,,,,,Q5,,,,7.3
2021,SH_XPD_EARN10,,,,,Q5,,,,5.2
2022,SH_XPD_EARN10,,,,,Q5,,,,5.2
2023,SH_XPD_EARN10,,,,,Q5,,,,5.1
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,9.2
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,9.8
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,10.6
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,8.0
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,7.6
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,11.1
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,4.4
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,4.4
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,3.7
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,3.3
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,4.0
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,3.5
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,3.1
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,3.2
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,2.8
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,2.1
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,2.5
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,3.2
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,9.1
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,9.1
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,8.2
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,7.1
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,7.9
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_PERS_WORK,,7.1
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,22.6
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,26.6
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,31.3
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,26.7
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,22.3
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_ONL_PERS_WORK,,21.9
