Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,VC_IHR_PSRCN,KG11,NUMBER,KG11,65.0
2015,VC_IHR_PSRCN,KG11,NUMBER,KG11,60.0
2016,VC_IHR_PSRCN,KG11,NUMBER,KG11,40.0
2017,VC_IHR_PSRCN,KG11,NUMBER,KG11,61.0
2018,VC_IHR_PSRCN,KG11,NUMBER,KG11,48.0
2019,VC_IHR_PSRCN,KG11,NUMBER,KG11,38.0
2020,VC_IHR_PSRCN,KG11,NUMBER,KG11,38.0
2014,VC_IHR_PSRC,KG21,PER_100000_POP,KG21,4.439643
2015,VC_IHR_PSRC,KG21,PER_100000_POP,KG21,4.351721
2016,VC_IHR_PSRC,KG21,PER_100000_POP,KG21,2.128218
2017,VC_IHR_PSRC,KG21,PER_100000_POP,KG21,5.539821
2018,VC_IHR_PSRC,KG21,PER_100000_POP,KG21,4.007267
2019,VC_IHR_PSRC,KG21,PER_100000_POP,KG21,2.879724
2020,VC_IHR_PSRC,KG21,PER_100000_POP,KG21,3.41441
2014,VC_IHR_PSRCN,KG21,NUMBER,KG21,12.0
2015,VC_IHR_PSRCN,KG21,NUMBER,KG21,12.0
2016,VC_IHR_PSRCN,KG21,NUMBER,KG21,6.0
2017,VC_IHR_PSRCN,KG21,NUMBER,KG21,16.0
2018,VC_IHR_PSRCN,KG21,NUMBER,KG21,12.0
2019,VC_IHR_PSRCN,KG21,NUMBER,KG21,9.0
2020,VC_IHR_PSRCN,KG21,NUMBER,KG21,11.0
