Year,concept.REF_AREA,concept.SEX,Value
2010,code.KG04,code.F,47.0
2011,code.KG04,code.F,92.0
2012,code.KG04,code.F,53.0
2013,code.KG04,code.F,45.0
2014,code.KG04,code.F,22.0
2015,code.KG04,code.F,15.0
2016,code.KG04,code.F,15.0
2017,code.KG04,code.F,3.6
2018,code.KG04,code.F,29.0
2007,code.KG04,code.M,131.0
2008,code.KG04,code.M,69.0
2009,code.KG04,code.M,191.0
2010,code.KG04,code.M,106.0
2011,code.KG04,code.M,127.0
2012,code.KG04,code.M,81.0
2013,code.KG04,code.M,88.0
2014,code.KG04,code.M,65.0
2015,code.KG04,code.M,29.0
2016,code.KG04,code.M,71.0
2017,code.KG04,code.M,2.1
2018,code.KG04,code.M,34.0
2007,code.KG06,,38.0
2008,code.KG06,,41.0
2009,code.KG06,,75.0
2010,code.KG06,,84.0
2011,code.KG06,,64.0
2012,code.KG06,,42.0
2013,code.KG06,,51.0
2014,code.KG06,,63.0
2015,code.KG06,,35.0
2016,code.KG06,,46.0
2017,code.KG06,,5.9
2018,code.KG06,,44.0
2007,code.KG06,code.F,39.0
2008,code.KG06,code.F,35.0
2009,code.KG06,code.F,53.0
2010,code.KG06,code.F,65.0
2011,code.KG06,code.F,58.0
2012,code.KG06,code.F,33.0
2013,code.KG06,code.F,46.0
2014,code.KG06,code.F,50.0
2015,code.KG06,code.F,26.0
2016,code.KG06,code.F,24.0
2017,code.KG06,code.F,5.3
2018,code.KG06,code.F,30.0
2007,code.KG06,code.M,37.0
2008,code.KG06,code.M,47.0
2009,code.KG06,code.M,97.0
2010,code.KG06,code.M,102.0
2011,code.KG06,code.M,70.0
2012,code.KG06,code.M,51.0
2013,code.KG06,code.M,55.0
2014,code.KG06,code.M,77.0
2015,code.KG06,code.M,45.0
2016,code.KG06,code.M,68.0
2017,code.KG06,code.M,6.5
2018,code.KG06,code.M,58.0
2007,code.KG07,,76.0
2008,code.KG07,,58.0
2009,code.KG07,,48.0
2010,code.KG07,,113.0
2011,code.KG07,,81.0
2012,code.KG07,,84.0
2013,code.KG07,,79.0
2014,code.KG07,,65.0
2015,code.KG07,,52.0
2016,code.KG07,,63.0
2017,code.KG07,,3.9
2018,code.KG07,,27.0
2007,code.KG07,code.F,108.0
2008,code.KG07,code.F,71.0
2009,code.KG07,code.F,35.0
2010,code.KG07,code.F,131.0
2011,code.KG07,code.F,60.0
2012,code.KG07,code.F,68.0
2013,code.KG07,code.F,50.0
2014,code.KG07,code.F,58.0
2015,code.KG07,code.F,24.0
2016,code.KG07,code.F,56.0
2017,code.KG07,code.F,1.6
2018,code.KG07,code.F,31.0
2007,code.KG07,code.M,45.0
2008,code.KG07,code.M,44.0
2009,code.KG07,code.M,61.0
2010,code.KG07,code.M,95.0
2011,code.KG07,code.M,102.0
2012,code.KG07,code.M,100.0
2013,code.KG07,code.M,107.0
2014,code.KG07,code.M,73.0
2015,code.KG07,code.M,80.0
2016,code.KG07,code.M,70.0
2017,code.KG07,code.M,6.2
2018,code.KG07,code.M,23.0
2007,code.KG08,,123.0
2008,code.KG08,,132.0
2009,code.KG08,,112.0
2010,code.KG08,,65.0
2011,code.KG08,,103.0
2012,code.KG08,,88.0
2013,code.KG08,,66.0
2014,code.KG08,,65.0
2015,code.KG08,,58.0
2016,code.KG08,,54.0
2017,code.KG08,,4.8
2018,code.KG08,,63.0
2007,code.KG08,code.F,92.0
2008,code.KG08,code.F,86.0
2009,code.KG08,code.F,71.0
2010,code.KG08,code.F,61.0
2011,code.KG08,code.F,89.0
2012,code.KG08,code.F,71.0
2013,code.KG08,code.F,63.0
2014,code.KG08,code.F,39.0
2015,code.KG08,code.F,47.0
2016,code.KG08,code.F,42.0
2017,code.KG08,code.F,2.6
2018,code.KG08,code.F,49.0
2007,code.KG08,code.M,154.0
2008,code.KG08,code.M,179.0
2009,code.KG08,code.M,154.0
2010,code.KG08,code.M,70.0
2011,code.KG08,code.M,117.0
2012,code.KG08,code.M,105.0
2013,code.KG08,code.M,70.0
2014,code.KG08,code.M,92.0
2015,code.KG08,code.M,69.0
2016,code.KG08,code.M,66.0
2017,code.KG08,code.M,7.1
2018,code.KG08,code.M,78.0
2007,code.KG11,,194.0
2008,code.KG11,,166.0
2009,code.KG11,,186.0
2010,code.KG11,,175.0
2011,code.KG11,,166.0
2012,code.KG11,,179.0
2013,code.KG11,,101.0
2014,code.KG11,,95.0
2015,code.KG11,,79.0
2016,code.KG11,,101.0
2017,code.KG11,,10.1
2018,code.KG11,,90.0
2007,code.KG11,code.F,153.0
2008,code.KG11,code.F,110.0
2009,code.KG11,code.F,109.0
2010,code.KG11,code.F,98.0
2011,code.KG11,code.F,108.0
2012,code.KG11,code.F,78.0
2013,code.KG11,code.F,74.0
2014,code.KG11,code.F,71.0
2015,code.KG11,code.F,46.0
2016,code.KG11,code.F,70.0
2017,code.KG11,code.F,7.6
2018,code.KG11,code.F,59.0
2007,code.KG11,code.M,242.0
2008,code.KG11,code.M,229.0
2009,code.KG11,code.M,275.0
2010,code.KG11,code.M,263.0
2011,code.KG11,code.M,233.0
2012,code.KG11,code.M,294.0
2013,code.KG11,code.M,131.0
2014,code.KG11,code.M,123.0
2015,code.KG11,code.M,118.0
2016,code.KG11,code.M,137.0
2017,code.KG11,code.M,12.9
2018,code.KG11,code.M,124.0
2007,code.KG21,,410.0
2008,code.KG21,,249.0
2009,code.KG21,,236.0
2010,code.KG21,,136.0
2011,code.KG21,,192.0
2012,code.KG21,,294.0
2013,code.KG21,,21.3
2014,code.KG21,,24.7
2015,code.KG21,,22.3
2016,code.KG21,,140.0
2017,code.KG21,,4.9
2018,code.KG21,,75.0
2007,code.KG21,code.F,352.0
2008,code.KG21,code.F,194.0
2009,code.KG21,code.F,141.0
2010,code.KG21,code.F,119.0
2011,code.KG21,code.F,113.0
2012,code.KG21,code.F,208.0
2013,code.KG21,code.F,12.4
2014,code.KG21,code.F,20.9
2015,code.KG21,code.F,14.9
2016,code.KG21,code.F,12.5
2017,code.KG21,code.F,4.1
2018,code.KG21,code.F,40.0
2007,code.KG21,code.M,472.0
2008,code.KG21,code.M,308.0
2009,code.KG21,code.M,338.0
2010,code.KG21,code.M,154.0
2011,code.KG21,code.M,277.0
2012,code.KG21,code.M,388.0
2013,code.KG21,code.M,30.9
2014,code.KG21,code.M,28.7
2015,code.KG21,code.M,30.4
2016,code.KG21,code.M,15.6
2017,code.KG21,code.M,5.8
2018,code.KG21,code.M,112.0
