Year,concept.SEX,concept.COMPOSITE_BREAKDOWN,Value
2013,code.M,code._L_CSE_SICK,44
2014,code.M,code._L_CSE_SICK,55
2015,code.M,code._L_CSE_SICK,24
2016,code.M,code._L_CSE_SICK,39
2017,code.M,code._L_CSE_SICK,27
2018,code.M,code._L_CSE_SICK,44
2005,code.M,code._L_CSE_DISAB,908
2006,code.M,code._L_CSE_DISAB,812
2007,code.M,code._L_CSE_DISAB,756
2008,code.M,code._L_CSE_DISAB,541
2009,code.M,code._L_CSE_DISAB,644
2010,code.M,code._L_CSE_DISAB,611
2011,code.M,code._L_CSE_DISAB,759
2012,code.M,code._L_CSE_DISAB,599
2013,code.M,code._L_CSE_DISAB,674
2014,code.M,code._L_CSE_DISAB,736
2015,code.M,code._L_CSE_DISAB,716
2016,code.M,code._L_CSE_DISAB,755
2017,code.M,code._L_CSE_DISAB,736
2018,code.M,code._L_CSE_DISAB,811
2005,code.M,code._L_CSE_OTHER,102
2006,code.M,code._L_CSE_OTHER,147
2007,code.M,code._L_CSE_OTHER,144
2008,code.M,code._L_CSE_OTHER,88
2009,code.M,code._L_CSE_OTHER,129
2010,code.M,code._L_CSE_OTHER,241
2011,code.M,code._L_CSE_OTHER,200
2012,code.M,code._L_CSE_OTHER,174
2005,code.F,,1360
2006,code.F,,1448
2007,code.F,,1303
2008,code.F,,1122
2009,code.F,,1207
2010,code.F,,1454
2011,code.F,,1575
2012,code.F,,1265
2013,code.F,,1193
2014,code.F,,1170
2015,code.F,,972
2016,code.F,,1107
2017,code.F,,1149
2018,code.F,,1204
2005,code.F,code._L_CSE_MATDIFF,137
2006,code.F,code._L_CSE_MATDIFF,120
2007,code.F,code._L_CSE_MATDIFF,101
2008,code.F,code._L_CSE_MATDIFF,91
2009,code.F,code._L_CSE_MATDIFF,78
2010,code.F,code._L_CSE_MATDIFF,61
2011,code.F,code._L_CSE_MATDIFF,133
2012,code.F,code._L_CSE_MATDIFF,97
2013,code.F,code._L_CSE_MATDIFF,44
2014,code.F,code._L_CSE_MATDIFF,106
2015,code.F,code._L_CSE_MATDIFF,49
2016,code.F,code._L_CSE_MATDIFF,90
2017,code.F,code._L_CSE_MATDIFF,147
2018,code.F,code._L_CSE_MATDIFF,118
2005,code.F,code._L_CSE_PARENTS,41
2006,code.F,code._L_CSE_PARENTS,86
2007,code.F,code._L_CSE_PARENTS,64
2008,code.F,code._L_CSE_PARENTS,65
2009,code.F,code._L_CSE_PARENTS,46
2010,code.F,code._L_CSE_PARENTS,114
2011,code.F,code._L_CSE_PARENTS,77
2012,code.F,code._L_CSE_PARENTS,24
2013,code.F,code._L_CSE_PARENTS,32
2014,code.F,code._L_CSE_PARENTS,7
2015,code.F,code._L_CSE_PARENTS,19
2016,code.F,code._L_CSE_PARENTS,18
2017,code.F,code._L_CSE_PARENTS,22
2018,code.F,code._L_CSE_PARENTS,30
2013,code.F,code._L_CSE_NODOC,5
2015,code.F,code._L_CSE_NODOC,3
2016,code.F,code._L_CSE_NODOC,6
2005,code.F,code._L_CSE_DOM,116
2006,code.F,code._L_CSE_DOM,94
2007,code.F,code._L_CSE_DOM,83
2008,code.F,code._L_CSE_DOM,317
2009,code.F,code._L_CSE_DOM,215
2010,code.F,code._L_CSE_DOM,237
2011,code.F,code._L_CSE_DOM,286
2012,code.F,code._L_CSE_DOM,230
2013,code.F,code._L_CSE_DOM,89
2014,code.F,code._L_CSE_DOM,299
2015,code.F,code._L_CSE_DOM,132
2016,code.F,code._L_CSE_DOM,194
2017,code.F,code._L_CSE_DOM,220
2018,code.F,code._L_CSE_DOM,272
2005,code.F,code._L_CSE_UNWILL,64
2006,code.F,code._L_CSE_UNWILL,75
2007,code.F,code._L_CSE_UNWILL,55
2008,code.F,code._L_CSE_UNWILL,64
2009,code.F,code._L_CSE_UNWILL,78
2010,code.F,code._L_CSE_UNWILL,127
2011,code.F,code._L_CSE_UNWILL,46
2012,code.F,code._L_CSE_UNWILL,31
2013,code.F,code._L_CSE_UNWILL,46
2014,code.F,code._L_CSE_UNWILL,49
2015,code.F,code._L_CSE_UNWILL,41
2016,code.F,code._L_CSE_UNWILL,12
2017,code.F,code._L_CSE_UNWILL,10
2018,code.F,code._L_CSE_UNWILL,73
2005,code.F,code._L_CSE_FAMILY,31
2006,code.F,code._L_CSE_FAMILY,22
2007,code.F,code._L_CSE_FAMILY,39
2008,code.F,code._L_CSE_FAMILY,24
2009,code.F,code._L_CSE_FAMILY,7
2010,code.F,code._L_CSE_FAMILY,13
2011,code.F,code._L_CSE_FAMILY,36
2012,code.F,code._L_CSE_FAMILY,13
2013,code.F,code._L_CSE_FAMILY,10
2014,code.F,code._L_CSE_FAMILY,5
2015,code.F,code._L_CSE_FAMILY,9
2016,code.F,code._L_CSE_FAMILY,5
2017,code.F,code._L_CSE_FAMILY,11
2018,code.F,code._L_CSE_FAMILY,10
2005,code.F,code._L_CSE_NOLANG,14
2006,code.F,code._L_CSE_NOLANG,1
2007,code.F,code._L_CSE_NOLANG,2
2008,code.F,code._L_CSE_NOLANG,6
2009,code.F,code._L_CSE_NOLANG,20
2010,code.F,code._L_CSE_NOLANG,21
2011,code.F,code._L_CSE_NOLANG,1
2012,code.F,code._L_CSE_NOLANG,1
2013,code.F,code._L_CSE_NOLANG,3
2014,code.F,code._L_CSE_NOLANG,1
2017,code.F,code._L_CSE_NOLANG,1
2018,code.F,code._L_CSE_NOLANG,0
2013,code.F,code._L_CSE_MARR,4
2014,code.F,code._L_CSE_MARR,3
2018,code.F,code._L_CSE_MARR,0
2005,code.F,code._L_CSE_WORK,39
2006,code.F,code._L_CSE_WORK,144
2007,code.F,code._L_CSE_WORK,94
2008,code.F,code._L_CSE_WORK,40
2009,code.F,code._L_CSE_WORK,66
2010,code.F,code._L_CSE_WORK,74
2011,code.F,code._L_CSE_WORK,115
2012,code.F,code._L_CSE_WORK,88
2013,code.F,code._L_CSE_WORK,380
2014,code.F,code._L_CSE_WORK,75
2015,code.F,code._L_CSE_WORK,60
2016,code.F,code._L_CSE_WORK,204
2017,code.F,code._L_CSE_WORK,199
2018,code.F,code._L_CSE_WORK,121
2018,code.F,code._L_CSE_TRANSPORT,2
2013,code.F,code._L_CSE_SEASWORK,4
2014,code.F,code._L_CSE_SEASWORK,7
2015,code.F,code._L_CSE_SEASWORK,79
2017,code.F,code._L_CSE_SEASWORK,1
2018,code.F,code._L_CSE_SEASWORK,4
2014,code.F,code._L_CSE_AGE,4
2015,code.F,code._L_CSE_AGE,2
2017,code.F,code._L_CSE_AGE,1
2018,code.F,code._L_CSE_AGE,18
2005,code.F,code._L_CSE_SICK,196
2006,code.F,code._L_CSE_SICK,213
2007,code.F,code._L_CSE_SICK,219
2008,code.F,code._L_CSE_SICK,99
2009,code.F,code._L_CSE_SICK,195
2010,code.F,code._L_CSE_SICK,260
2011,code.F,code._L_CSE_SICK,233
2012,code.F,code._L_CSE_SICK,213
2013,code.F,code._L_CSE_SICK,45
2014,code.F,code._L_CSE_SICK,60
2015,code.F,code._L_CSE_SICK,14
2016,code.F,code._L_CSE_SICK,36
2017,code.F,code._L_CSE_SICK,20
2018,code.F,code._L_CSE_SICK,31
2005,code.F,code._L_CSE_DISAB,658
2006,code.F,code._L_CSE_DISAB,585
2007,code.F,code._L_CSE_DISAB,535
2008,code.F,code._L_CSE_DISAB,349
2009,code.F,code._L_CSE_DISAB,391
2010,code.F,code._L_CSE_DISAB,393
2011,code.F,code._L_CSE_DISAB,515
2012,code.F,code._L_CSE_DISAB,410
2013,code.F,code._L_CSE_DISAB,531
2014,code.F,code._L_CSE_DISAB,554
2015,code.F,code._L_CSE_DISAB,564
2016,code.F,code._L_CSE_DISAB,542
2017,code.F,code._L_CSE_DISAB,517
2018,code.F,code._L_CSE_DISAB,525
2005,code.F,code._L_CSE_OTHER,64
2006,code.F,code._L_CSE_OTHER,108
2007,code.F,code._L_CSE_OTHER,111
2008,code.F,code._L_CSE_OTHER,67
2009,code.F,code._L_CSE_OTHER,111
2010,code.F,code._L_CSE_OTHER,154
2011,code.F,code._L_CSE_OTHER,133
2012,code.F,code._L_CSE_OTHER,158
