Year,Series,concept.REF_AREA,Value
2010,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,95.5
2011,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,93.6
2012,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,93.0
2013,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,96.2
2014,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,98.3
2015,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,97.1
2016,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,98.5
2017,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,96.6
2018,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,95.8
2019,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,99.33564
2007,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,94.0
2008,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,94.8
2009,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,94.6
2010,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,96.8
2011,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,95.3
2012,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,96.0
2013,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,96.2
2014,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,93.4
2015,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,96.8
2016,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,95.2
2017,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,93.1
2018,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,95.3
2019,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,92.698706
2007,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,94.0
2008,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,95.5
2009,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,95.5
2010,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,96.3
2011,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,96.8
2012,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,97.6
2013,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,96.3
2014,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,96.0
2015,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,97.0
2016,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,97.5
2017,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,91.8
2018,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,92.5
2019,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,91.652622
2007,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,95.0
2008,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,94.9
2009,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,95.5
2010,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,96.8
2011,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,96.4
2012,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,97.2
2013,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,96.6
2014,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,93.7
2015,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,94.0
2016,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,90.5
2017,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,86.5
2018,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,90.3
2019,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,92.018905
2007,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,95.2
2008,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,96.7
2009,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,95.4
2010,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,95.7
2011,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,95.2
2012,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,98.5
2013,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,99.2
2014,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,96.0
2015,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,97.6
2016,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,96.7
2017,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,98.0
2018,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,95.2
2019,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,95.586032
2007,CL_SERIES.SH_ACS_MCV2,,98.8
2008,CL_SERIES.SH_ACS_MCV2,,99.1
2009,CL_SERIES.SH_ACS_MCV2,,98.9
2010,CL_SERIES.SH_ACS_MCV2,,98.3
2011,CL_SERIES.SH_ACS_MCV2,,97.2
2012,CL_SERIES.SH_ACS_MCV2,,97.7
2013,CL_SERIES.SH_ACS_MCV2,,98.666102
2014,CL_SERIES.SH_ACS_MCV2,,95.6
2015,CL_SERIES.SH_ACS_MCV2,,99.1
2016,CL_SERIES.SH_ACS_MCV2,,97.0
2017,CL_SERIES.SH_ACS_MCV2,,94.7
2018,CL_SERIES.SH_ACS_MCV2,,96.244215
2019,CL_SERIES.SH_ACS_MCV2,,97.245414
2007,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,99.2
2008,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,99.0
2009,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,99.9
2010,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,97.2
2011,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,95.7
2012,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,100.0
2013,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,99.9
2014,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,98.9
2015,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,97.6
2016,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,99.9
2017,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,98.7
2018,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,92.454654
2019,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,98.254513
2007,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,97.8
2008,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,99.2
2009,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,98.3
2010,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,98.3
2011,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,100.0
2012,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,99.0
2013,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,99.6
2014,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,91.7
2015,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,100.0
2016,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,95.7
2017,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,88.8
2018,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,93.49863
2019,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,93.035179
2007,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,99.0
2008,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,99.7
2009,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,99.7
2010,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,99.2
2011,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,96.9
2012,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,95.7
2013,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,97.4
2014,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,95.6
2015,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,98.9
2016,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,97.7
2017,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,95.1
2018,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,96.51199
2019,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,97.67698
2007,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,99.4
2008,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,99.1
2009,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,98.9
2010,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,99.5
2011,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,96.7
2012,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,97.6
2013,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,97.3
2014,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,97.7
2015,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,98.1
2016,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,98.1
2017,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,97.0
2018,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,97.646444
2019,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,98.140747
2007,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,98.9
2008,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,99.5
2009,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,99.8
2010,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,99.7
2011,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,94.7
2012,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,96.6
2013,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,97.9
2014,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,96.1
2015,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,99.0
2016,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,99.2
2017,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,96.8
2018,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,98.10916
2019,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG06,99.619945
2007,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,98.6
2008,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,99.2
2009,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,97.6
2010,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,97.1
2011,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,97.7
2012,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,98.8
2013,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,97.7
2014,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,94.3
2015,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,97.1
2016,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,97.0
2017,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,95.6
2018,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,98.413291
2019,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG07,95.974889
2007,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,99.1
2008,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,97.4
2009,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,98.7
2010,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,96.4
2011,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,97.1
2012,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,96.4
2013,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,99.3
2014,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,96.5
2015,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,98.6
2016,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,95.0
2017,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,96.3
2018,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,97.43813
2019,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG08,99.450649
2007,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,99.8
2008,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,99.9
2009,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,98.6
2010,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,99.0
2011,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,97.4
2012,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,97.7
2013,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,98.4
2014,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,95.6
2015,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,99.8
2016,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,95.1
2017,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,91.7
2018,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,96.281062
2019,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG11,96.444387
2007,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,98.8
2008,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,98.9
2009,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,98.2
2010,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,97.4
2011,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,99.7
2012,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,98.1
2013,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,98.7
2014,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,99.9
2015,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,99.7
2016,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,96.8
2017,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,97.7
2018,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,99.425085
2019,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG21,97.981883
2015,CL_SERIES.SH_ACS_PCV3,,96.8
2016,CL_SERIES.SH_ACS_PCV3,,97.2
2017,CL_SERIES.SH_ACS_PCV3,,94.2
2018,CL_SERIES.SH_ACS_PCV3,,92.0
2019,CL_SERIES.SH_ACS_PCV3,,95.083643
2015,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG05,97.3
2016,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG05,99.3
2017,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG05,96.3
2018,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG05,94.6
2019,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG05,99.597512
2015,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG03,97.3
2016,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG03,95.9
2017,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG03,94.5
2018,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG03,93.8
2019,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG03,90.089857
2015,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG02,98.2
2016,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG02,96.4
2017,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG02,96.3
2018,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG02,95.0
2019,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG02,94.992818
2015,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG04,96.8
2016,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG04,96.7
2017,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG04,97.0
2018,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG04,95.1
2019,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG04,97.283381
2015,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG06,96.3
2016,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG06,98.8
2017,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG06,97.2
2018,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG06,92.1
2019,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG06,98.41451
2015,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG07,97.2
2016,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG07,96.1
2017,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG07,94.0
2018,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG07,96.0
2019,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG07,94.297841
2015,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG08,97.6
2016,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG08,98.7
2017,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG08,92.6
2018,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG08,92.1
2019,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG08,94.916128
2015,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG11,95.0
2016,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG11,94.8
2017,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG11,90.4
2018,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG11,83.4
2019,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG11,93.823491
2015,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG21,97.9
2016,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG21,96.8
2017,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG21,90.0
2018,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG21,93.9
2019,CL_SERIES.SH_ACS_PCV3,CL_AREA.KG21,95.896254
