Year,REF_AREA,SEX,Value
2013,KG02,M,2.2
2014,KG02,M,4.4
2015,KG02,M,0.4
2016,KG02,M,1.3
2017,KG02,M,1.7
2018,KG02,M,1.7
2019,KG02,M,0.8
2020,KG02,M,1.2
2007,KG04,,1.2
2010,KG04,,0.4
2013,KG04,,0.4
2018,KG04,,1.1
2007,KG04,F,0.8
2018,KG04,F,0.7
2007,KG04,M,1.5
2010,KG04,M,0.8
2013,KG04,M,0.7
2018,KG04,M,1.4
2008,KG06,,0.2
2009,KG06,,0.3
2011,KG06,,0.1
2012,KG06,,0.3
2015,KG06,,0.3
2016,KG06,,0.2
2017,KG06,,0.2
2018,KG06,,0.2
2019,KG06,,0.4
2020,KG06,,0.4
2008,KG06,F,0.2
2012,KG06,F,0.3
2015,KG06,F,0.2
2017,KG06,F,0.3
2019,KG06,F,0.3
2020,KG06,F,0.4
2008,KG06,M,0.2
2009,KG06,M,0.5
2011,KG06,M,0.2
2012,KG06,M,0.3
2015,KG06,M,0.5
2016,KG06,M,0.5
2018,KG06,M,0.3
2019,KG06,M,0.6
2020,KG06,M,0.3
2008,KG07,,0.9
2009,KG07,,0.4
2013,KG07,,0.4
2014,KG07,,0.4
2015,KG07,,0.4
2016,KG07,,0.4
2019,KG07,,0.4
2008,KG07,M,1.8
2009,KG07,M,0.9
2013,KG07,M,0.8
2014,KG07,M,0.8
2015,KG07,M,0.8
2016,KG07,M,0.8
2019,KG07,M,0.7
2007,KG08,,4.2
2008,KG08,,6.1
2009,KG08,,3.0
2010,KG08,,3.2
2011,KG08,,2.3
2012,KG08,,3.1
2013,KG08,,2.2
2014,KG08,,1.9
2015,KG08,,2.0
2016,KG08,,2.2
2017,KG08,,2.2
2018,KG08,,2.6
2019,KG08,,2.0
2020,KG08,,1.7
2007,KG08,F,2.5
2008,KG08,F,4.4
2009,KG08,F,2.4
2010,KG08,F,2.2
2011,KG08,F,0.5
2012,KG08,F,1.7
2013,KG08,F,0.7
2014,KG08,F,0.7
2015,KG08,F,1.6
2016,KG08,F,0.4
2017,KG08,F,1.3
2018,KG08,F,1.7
2019,KG08,F,0.8
2020,KG08,F,1.2
2007,KG08,M,5.9
2008,KG08,M,7.9
2009,KG08,M,3.5
2010,KG08,M,4.3
2011,KG08,M,4.2
2012,KG08,M,4.6
2013,KG08,M,3.8
2014,KG08,M,3.1
2015,KG08,M,2.5
2016,KG08,M,4.1
2017,KG08,M,3.1
2018,KG08,M,3.5
2019,KG08,M,3.2
2020,KG08,M,2.1
2007,KG11,,3.2
2008,KG11,,3.4
2009,KG11,,1.8
2010,KG11,,0.9
2011,KG11,,2.3
2012,KG11,,2.6
2013,KG11,,1.9
2014,KG11,,1.9
2015,KG11,,1.1
2016,KG11,,1.5
2017,KG11,,0.9
2018,KG11,,1.3
2019,KG11,,0.4
2020,KG11,,0.6
2007,KG11,F,2.3
2008,KG11,F,2.7
2009,KG11,F,1.1
2010,KG11,F,0.4
2011,KG11,F,1.1
2012,KG11,F,1.5
2013,KG11,F,1.4
2014,KG11,F,1.2
2015,KG11,F,0.4
2016,KG11,F,1.5
2017,KG11,F,0.4
2018,KG11,F,0.7
2019,KG11,F,0.2
2007,KG11,M,4.2
2008,KG11,M,4.2
2009,KG11,M,2.6
2010,KG11,M,1.5
2011,KG11,M,3.7
2012,KG11,M,3.9
2013,KG11,M,2.4
2014,KG11,M,2.8
2015,KG11,M,1.8
2016,KG11,M,1.5
2017,KG11,M,1.5
2018,KG11,M,1.9
2019,KG11,M,0.6
2020,KG11,M,1.2
2007,KG21,,0.4
2011,KG21,,0.4
2012,KG21,,1.2
2015,KG21,,0.4
2019,KG21,,1.0
2020,KG21,,0.6
2007,KG21,F,0.7
2012,KG21,F,1.5
2020,KG21,F,1.2
2011,KG21,M,0.8
2012,KG21,M,0.8
2015,KG21,M,0.8
2019,KG21,M,2.0
