Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,GeoCode,Value
2019,SH_XPD_EARN10,,,,,,ISCED11_3,,,46
2020,SH_XPD_EARN10,,,,,,ISCED11_3,,,37
2021,SH_XPD_EARN10,,,,,,ISCED11_3,,,34
2022,SH_XPD_EARN10,,,,,,ISCED11_3,,,43
2023,SH_XPD_EARN10,,,,,,ISCED11_3,,,42
2024,SH_XPD_EARN10,,,,,,ISCED11_3,,,47
2018,SH_XPD_EARN10,,,,,,ISCED11_4,,,73
2019,SH_XPD_EARN10,,,,,,ISCED11_4,,,92
2020,SH_XPD_EARN10,,,,,,ISCED11_4,,,79
2021,SH_XPD_EARN10,,,,,,ISCED11_4,,,65
2022,SH_XPD_EARN10,,,,,,ISCED11_4,,,65
2023,SH_XPD_EARN10,,,,,,ISCED11_4,,,78
2024,SH_XPD_EARN10,,,,,,ISCED11_4,,,72
2018,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,49
2019,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,52
2020,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,64
2021,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,50
2022,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,48
2023,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,48
2024,SH_XPD_EARN10,,,,,,ISCED11_6_7,,,44
2018,SH_XPD_EARN10,,,,,Q1,,,,28
2019,SH_XPD_EARN10,,,,,Q1,,,,27
2020,SH_XPD_EARN10,,,,,Q1,,,,23
2021,SH_XPD_EARN10,,,,,Q1,,,,27
2022,SH_XPD_EARN10,,,,,Q1,,,,41
2023,SH_XPD_EARN10,,,,,Q1,,,,36
2024,SH_XPD_EARN10,,,,,Q1,,,,35
2018,SH_XPD_EARN10,,,,,Q2,,,,48
2019,SH_XPD_EARN10,,,,,Q2,,,,45
2020,SH_XPD_EARN10,,,,,Q2,,,,50
2021,SH_XPD_EARN10,,,,,Q2,,,,36
2022,SH_XPD_EARN10,,,,,Q2,,,,38
2023,SH_XPD_EARN10,,,,,Q2,,,,54
2024,SH_XPD_EARN10,,,,,Q2,,,,47
2018,SH_XPD_EARN10,,,,,Q3,,,,52
2019,SH_XPD_EARN10,,,,,Q3,,,,51
2020,SH_XPD_EARN10,,,,,Q3,,,,52
2021,SH_XPD_EARN10,,,,,Q3,,,,37
2022,SH_XPD_EARN10,,,,,Q3,,,,44
2023,SH_XPD_EARN10,,,,,Q3,,,,58
2024,SH_XPD_EARN10,,,,,Q3,,,,67
2018,SH_XPD_EARN10,,,,,Q4,,,,78
2019,SH_XPD_EARN10,,,,,Q4,,,,79
2020,SH_XPD_EARN10,,,,,Q4,,,,43
2021,SH_XPD_EARN10,,,,,Q4,,,,51
2022,SH_XPD_EARN10,,,,,Q4,,,,54
2023,SH_XPD_EARN10,,,,,Q4,,,,38
2024,SH_XPD_EARN10,,,,,Q4,,,,43
2018,SH_XPD_EARN10,,,,,Q5,,,,51
2019,SH_XPD_EARN10,,,,,Q5,,,,62
2020,SH_XPD_EARN10,,,,,Q5,,,,73
2021,SH_XPD_EARN10,,,,,Q5,,,,52
2022,SH_XPD_EARN10,,,,,Q5,,,,52
2023,SH_XPD_EARN10,,,,,Q5,,,,51
2024,SH_XPD_EARN10,,,,,Q5,,,,41
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,92
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,98
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,106
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,80
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,76
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,111
2024,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_CHILD,,92
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,44
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,44
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,37
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,33
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,40
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,35
2024,SH_XPD_EARN10,,,,,,,_L_HOUS_WITH_CHILD,,37
2018,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,31
2019,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,32
2020,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,28
2021,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,21
2022,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,25
2023,SH_XPD_EARN10,,,,,,,_L_HOUS_WITHOUT_PERS_WORK,,32
