Year,REF_AREA,SEX,Value
2010,KG06,,107
2011,KG06,,82
2012,KG06,,64
2013,KG06,,51
2014,KG06,,50
2015,KG06,,43
2016,KG06,,35
2017,KG06,,31
2018,KG06,,34
2019,KG06,,28
2020,KG06,,39
2010,KG06,M,129
2011,KG06,M,93
2012,KG06,M,70
2013,KG06,M,55
2014,KG06,M,54
2015,KG06,M,51
2016,KG06,M,39
2017,KG06,M,35
2018,KG06,M,41
2019,KG06,M,34
2020,KG06,M,41
2010,KG06,F,84
2011,KG06,F,70
2012,KG06,F,58
2013,KG06,F,47
2014,KG06,F,46
2015,KG06,F,35
2016,KG06,F,31
2017,KG06,F,27
2018,KG06,F,26
2019,KG06,F,22
2020,KG06,F,36
2007,KG07,,289
2008,KG07,,245
2009,KG07,,256
2010,KG07,,191
2011,KG07,,169
2012,KG07,,153
2013,KG07,,199
2014,KG07,,167
2015,KG07,,127
2016,KG07,,123
2017,KG07,,123
2018,KG07,,167
2019,KG07,,148
2020,KG07,,206
2010,KG07,M,222
2011,KG07,M,193
2012,KG07,M,171
2013,KG07,M,239
2014,KG07,M,193
2015,KG07,M,173
2016,KG07,M,113
2017,KG07,M,124
2018,KG07,M,195
2019,KG07,M,150
2020,KG07,M,236
2010,KG07,F,161
2011,KG07,F,143
2012,KG07,F,135
2013,KG07,F,156
2014,KG07,F,137
2015,KG07,F,78
2016,KG07,F,134
2017,KG07,F,121
2018,KG07,F,138
2019,KG07,F,147
2020,KG07,F,175
2007,KG08,,219
2008,KG08,,200
2009,KG08,,185
2010,KG08,,161
2011,KG08,,154
2012,KG08,,143
2013,KG08,,145
2014,KG08,,134
2015,KG08,,126
2016,KG08,,104
2017,KG08,,67
2018,KG08,,68
2019,KG08,,76
2020,KG08,,69
2010,KG08,M,184
2011,KG08,M,146
2012,KG08,M,160
2013,KG08,M,162
2014,KG08,M,139
2015,KG08,M,146
2016,KG08,M,110
2017,KG08,M,68
2018,KG08,M,75
2019,KG08,M,82
2020,KG08,M,78
2010,KG08,F,136
2011,KG08,F,162
2012,KG08,F,124
2013,KG08,F,127
2014,KG08,F,127
2015,KG08,F,105
2016,KG08,F,97
2017,KG08,F,65
2018,KG08,F,61
2019,KG08,F,69
2020,KG08,F,59
2007,KG11,,315
2008,KG11,,299
2009,KG11,,273
2010,KG11,,251
2011,KG11,,241
2012,KG11,,214
2013,KG11,,229
2014,KG11,,260
2015,KG11,,230
2016,KG11,,228
2017,KG11,,232
2018,KG11,,229
2019,KG11,,199
2020,KG11,,190
2010,KG11,M,257
2011,KG11,M,260
2012,KG11,M,222
2013,KG11,M,261
2014,KG11,M,276
2015,KG11,M,246
2016,KG11,M,253
2017,KG11,M,260
2018,KG11,M,250
2019,KG11,M,216
2020,KG11,M,197
2010,KG11,F,246
2011,KG11,F,222
2012,KG11,F,205
2013,KG11,F,195
2014,KG11,F,243
2015,KG11,F,213
2016,KG11,F,202
2017,KG11,F,202
2018,KG11,F,207
2019,KG11,F,181
2020,KG11,F,184
2007,KG21,,495
2008,KG21,,430
2009,KG21,,498
2010,KG21,,421
2011,KG21,,466
2012,KG21,,538
2013,KG21,,556
2014,KG21,,640
2015,KG21,,620
2016,KG21,,502
2017,KG21,,469
2018,KG21,,342
2019,KG21,,330
2020,KG21,,329
2010,KG21,M,462
2011,KG21,M,501
2012,KG21,M,613
2013,KG21,M,648
2014,KG21,M,674
2015,KG21,M,628
2016,KG21,M,551
2017,KG21,M,531
2018,KG21,M,387
2019,KG21,M,373
2020,KG21,M,355
2010,KG21,F,376
2011,KG21,F,429
2012,KG21,F,458
2013,KG21,F,452
2014,KG21,F,602
2015,KG21,F,611
2016,KG21,F,450
2017,KG21,F,400
2018,KG21,F,294
2019,KG21,F,284
2020,KG21,F,302
