Year,concept.REF_AREA,concept.SEX,Value
2014,CL_AREA.KG11,,133.511493
2015,CL_AREA.KG11,,132.924152
2016,CL_AREA.KG11,,114.6052
2017,CL_AREA.KG11,,113.1
2018,CL_AREA.KG11,,102.592405
2019,CL_AREA.KG11,,95.33145
2007,CL_AREA.KG11,CL_SEX.F,121.38989099999999
2008,CL_AREA.KG11,CL_SEX.F,101.464217
2009,CL_AREA.KG11,CL_SEX.F,90.39282
2010,CL_AREA.KG11,CL_SEX.F,91.9
2011,CL_AREA.KG11,CL_SEX.F,90.229385
2012,CL_AREA.KG11,CL_SEX.F,97.405136
2013,CL_AREA.KG11,CL_SEX.F,110.2
2014,CL_AREA.KG11,CL_SEX.F,108.1
2015,CL_AREA.KG11,CL_SEX.F,103.1
2016,CL_AREA.KG11,CL_SEX.F,92.2
2017,CL_AREA.KG11,CL_SEX.F,91.3
2018,CL_AREA.KG11,CL_SEX.F,75.045722
2019,CL_AREA.KG11,CL_SEX.F,69.840615
2007,CL_AREA.KG11,CL_SEX.M,232.39882599999999
2008,CL_AREA.KG11,CL_SEX.M,146.69989099999998
2009,CL_AREA.KG11,CL_SEX.M,142.327909
2010,CL_AREA.KG11,CL_SEX.M,137.6
2011,CL_AREA.KG11,CL_SEX.M,143.52973899999998
2012,CL_AREA.KG11,CL_SEX.M,153.949048
2013,CL_AREA.KG11,CL_SEX.M,145.0
2014,CL_AREA.KG11,CL_SEX.M,162.1
2015,CL_AREA.KG11,CL_SEX.M,167.0
2016,CL_AREA.KG11,CL_SEX.M,140.2
2017,CL_AREA.KG11,CL_SEX.M,137.8
2018,CL_AREA.KG11,CL_SEX.M,133.887972
2019,CL_AREA.KG11,CL_SEX.M,124.20756200000001
2007,CL_AREA.KG21,,103.296686
2008,CL_AREA.KG21,,99.531522
2009,CL_AREA.KG21,,99.784188
2010,CL_AREA.KG21,,85.444525
2011,CL_AREA.KG21,,88.724902
2012,CL_AREA.KG21,,98.39240799999999
2013,CL_AREA.KG21,,83.705251
2014,CL_AREA.KG21,,103.082002
2015,CL_AREA.KG21,,89.736358
2016,CL_AREA.KG21,,92.52618000000001
2017,CL_AREA.KG21,,89.7
2018,CL_AREA.KG21,,84.314452
2019,CL_AREA.KG21,,79.086776
2007,CL_AREA.KG21,CL_SEX.F,83.113365
2008,CL_AREA.KG21,CL_SEX.F,63.749058999999995
2009,CL_AREA.KG21,CL_SEX.F,82.603422
2010,CL_AREA.KG21,CL_SEX.F,68.0
2011,CL_AREA.KG21,CL_SEX.F,75.03507900000001
2012,CL_AREA.KG21,CL_SEX.F,78.139535
2013,CL_AREA.KG21,CL_SEX.F,64.4
2014,CL_AREA.KG21,CL_SEX.F,92.2
2015,CL_AREA.KG21,CL_SEX.F,78.5
2016,CL_AREA.KG21,CL_SEX.F,77.6
2017,CL_AREA.KG21,CL_SEX.F,75.3
2018,CL_AREA.KG21,CL_SEX.F,83.024189
2019,CL_AREA.KG21,CL_SEX.F,76.750352
2007,CL_AREA.KG21,CL_SEX.M,125.184647
2008,CL_AREA.KG21,CL_SEX.M,138.35178
2009,CL_AREA.KG21,CL_SEX.M,118.375597
2010,CL_AREA.KG21,CL_SEX.M,104.4
2011,CL_AREA.KG21,CL_SEX.M,103.609189
2012,CL_AREA.KG21,CL_SEX.M,120.37972099999999
2013,CL_AREA.KG21,CL_SEX.M,104.5
2014,CL_AREA.KG21,CL_SEX.M,114.8
2015,CL_AREA.KG21,CL_SEX.M,101.8
2016,CL_AREA.KG21,CL_SEX.M,108.5
2017,CL_AREA.KG21,CL_SEX.M,105.2
2018,CL_AREA.KG21,CL_SEX.M,85.689803
2019,CL_AREA.KG21,CL_SEX.M,81.569918
