Year,concept.REF_AREA,concept.SEX,Value
2014,CL_AREA.KG03,CL_SEX.M,4.5
2015,CL_AREA.KG03,CL_SEX.M,2.5
2016,CL_AREA.KG03,CL_SEX.M,4.0
2017,CL_AREA.KG03,CL_SEX.M,3.7
2018,CL_AREA.KG03,CL_SEX.M,3.0
2019,CL_AREA.KG03,CL_SEX.M,1.3
2010,CL_AREA.KG02,,2.9
2013,CL_AREA.KG02,,4.8
2014,CL_AREA.KG02,,5.0
2015,CL_AREA.KG02,,6.4
2016,CL_AREA.KG02,,3.6
2017,CL_AREA.KG02,,5.8
2018,CL_AREA.KG02,,0.6
2019,CL_AREA.KG02,,0.2
2015,CL_AREA.KG02,CL_SEX.F,0.4
2018,CL_AREA.KG02,CL_SEX.F,0.0
2019,CL_AREA.KG02,CL_SEX.F,0.0
2010,CL_AREA.KG02,CL_SEX.M,5.9
2013,CL_AREA.KG02,CL_SEX.M,9.7
2014,CL_AREA.KG02,CL_SEX.M,10.0
2015,CL_AREA.KG02,CL_SEX.M,12.5
2016,CL_AREA.KG02,CL_SEX.M,7.2
2017,CL_AREA.KG02,CL_SEX.M,11.7
2018,CL_AREA.KG02,CL_SEX.M,1.2
2019,CL_AREA.KG02,CL_SEX.M,0.4
2010,CL_AREA.KG04,,1.9
2013,CL_AREA.KG04,,0.4
2014,CL_AREA.KG04,,3.7
2015,CL_AREA.KG04,,1.4
2017,CL_AREA.KG04,,1.1
2018,CL_AREA.KG04,,0.4
2019,CL_AREA.KG04,,0.3
2010,CL_AREA.KG04,CL_SEX.F,0.8
2014,CL_AREA.KG04,CL_SEX.F,0.7
2018,CL_AREA.KG04,CL_SEX.F,0.0
2019,CL_AREA.KG04,CL_SEX.F,0.0
2010,CL_AREA.KG04,CL_SEX.M,3.0
2013,CL_AREA.KG04,CL_SEX.M,0.7
2014,CL_AREA.KG04,CL_SEX.M,6.5
2015,CL_AREA.KG04,CL_SEX.M,2.9
2017,CL_AREA.KG04,CL_SEX.M,2.1
2018,CL_AREA.KG04,CL_SEX.M,0.7
2019,CL_AREA.KG04,CL_SEX.M,0.7
2010,CL_AREA.KG06,,1.6
2013,CL_AREA.KG06,,2.3
2014,CL_AREA.KG06,,0.8
2015,CL_AREA.KG06,,1.8
2016,CL_AREA.KG06,,0.9
2017,CL_AREA.KG06,,0.5
2018,CL_AREA.KG06,,2.6
2019,CL_AREA.KG06,,0.4
2014,CL_AREA.KG06,CL_SEX.F,0.2
2018,CL_AREA.KG06,CL_SEX.F,0.0
2019,CL_AREA.KG06,CL_SEX.F,0.0
2010,CL_AREA.KG06,CL_SEX.M,3.2
2013,CL_AREA.KG06,CL_SEX.M,4.5
2014,CL_AREA.KG06,CL_SEX.M,1.5
2015,CL_AREA.KG06,CL_SEX.M,3.5
2016,CL_AREA.KG06,CL_SEX.M,1.9
2017,CL_AREA.KG06,CL_SEX.M,0.9
2018,CL_AREA.KG06,CL_SEX.M,5.2
2019,CL_AREA.KG06,CL_SEX.M,0.7
2010,CL_AREA.KG07,,6.9
2013,CL_AREA.KG07,,3.3
2014,CL_AREA.KG07,,4.1
2015,CL_AREA.KG07,,7.2
2016,CL_AREA.KG07,,2.0
2017,CL_AREA.KG07,,1.6
2018,CL_AREA.KG07,,1.9
2019,CL_AREA.KG07,,4.9
2010,CL_AREA.KG07,CL_SEX.F,0.9
2014,CL_AREA.KG07,CL_SEX.F,0.8
2018,CL_AREA.KG07,CL_SEX.F,0.0
2019,CL_AREA.KG07,CL_SEX.F,0.0
2010,CL_AREA.KG07,CL_SEX.M,13.0
2013,CL_AREA.KG07,CL_SEX.M,6.6
2014,CL_AREA.KG07,CL_SEX.M,7.3
2015,CL_AREA.KG07,CL_SEX.M,14.3
2016,CL_AREA.KG07,CL_SEX.M,3.9
2017,CL_AREA.KG07,CL_SEX.M,3.1
2018,CL_AREA.KG07,CL_SEX.M,3.8
2019,CL_AREA.KG07,CL_SEX.M,9.7
2010,CL_AREA.KG08,,31.8
2013,CL_AREA.KG08,,20.4
2014,CL_AREA.KG08,,15.2
2015,CL_AREA.KG08,,12.3
2016,CL_AREA.KG08,,17.3
2017,CL_AREA.KG08,,11.3
2018,CL_AREA.KG08,,6.4
2019,CL_AREA.KG08,,5.8
2010,CL_AREA.KG08,CL_SEX.F,2.7
2013,CL_AREA.KG08,CL_SEX.F,0.5
2014,CL_AREA.KG08,CL_SEX.F,0.9
2015,CL_AREA.KG08,CL_SEX.F,1.6
2016,CL_AREA.KG08,CL_SEX.F,2.0
2017,CL_AREA.KG08,CL_SEX.F,0.4
2018,CL_AREA.KG08,CL_SEX.F,0.8
2019,CL_AREA.KG08,CL_SEX.F,0.4
2010,CL_AREA.KG08,CL_SEX.M,61.9
2013,CL_AREA.KG08,CL_SEX.M,41.1
2014,CL_AREA.KG08,CL_SEX.M,29.9
2015,CL_AREA.KG08,CL_SEX.M,23.3
2016,CL_AREA.KG08,CL_SEX.M,33.1
2017,CL_AREA.KG08,CL_SEX.M,22.5
2018,CL_AREA.KG08,CL_SEX.M,12.2
2019,CL_AREA.KG08,CL_SEX.M,11.3
2010,CL_AREA.KG11,,37.2
2013,CL_AREA.KG11,,22.1
2014,CL_AREA.KG11,,23.3
2015,CL_AREA.KG11,,16.0
2016,CL_AREA.KG11,,20.7
2017,CL_AREA.KG11,,9.1
2018,CL_AREA.KG11,,13.2
2019,CL_AREA.KG11,,6.4
2010,CL_AREA.KG11,CL_SEX.F,6.6
2013,CL_AREA.KG11,CL_SEX.F,2.1
2014,CL_AREA.KG11,CL_SEX.F,4.6
2015,CL_AREA.KG11,CL_SEX.F,0.8
2016,CL_AREA.KG11,CL_SEX.F,1.2
2017,CL_AREA.KG11,CL_SEX.F,0.9
2018,CL_AREA.KG11,CL_SEX.F,0.9
2019,CL_AREA.KG11,CL_SEX.F,0.0
2010,CL_AREA.KG11,CL_SEX.M,72.5
2013,CL_AREA.KG11,CL_SEX.M,45.1
2014,CL_AREA.KG11,CL_SEX.M,44.7
2015,CL_AREA.KG11,CL_SEX.M,33.5
2016,CL_AREA.KG11,CL_SEX.M,43.0
2017,CL_AREA.KG11,CL_SEX.M,18.3
2018,CL_AREA.KG11,CL_SEX.M,27.2
2019,CL_AREA.KG11,CL_SEX.M,13.7
2010,CL_AREA.KG21,,15.5
2013,CL_AREA.KG21,,5.3
2014,CL_AREA.KG21,,6.7
2015,CL_AREA.KG21,,16.8
2016,CL_AREA.KG21,,13.3
2017,CL_AREA.KG21,,2.8
2018,CL_AREA.KG21,,9.9
2019,CL_AREA.KG21,,2.9
2010,CL_AREA.KG21,CL_SEX.F,1.5
2013,CL_AREA.KG21,CL_SEX.F,0.7
2015,CL_AREA.KG21,CL_SEX.F,0.7
2018,CL_AREA.KG21,CL_SEX.F,2.0
2019,CL_AREA.KG21,CL_SEX.F,0.6
2010,CL_AREA.KG21,CL_SEX.M,30.8
2013,CL_AREA.KG21,CL_SEX.M,10.3
2014,CL_AREA.KG21,CL_SEX.M,14.0
2015,CL_AREA.KG21,CL_SEX.M,34.2
2016,CL_AREA.KG21,CL_SEX.M,27.5
2017,CL_AREA.KG21,CL_SEX.M,5.8
2018,CL_AREA.KG21,CL_SEX.M,18.3
2019,CL_AREA.KG21,CL_SEX.M,5.4
