Year,Series,concept.REF_AREA,Units,Value
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,4.439643
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,4.3517209999999995
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,2.128218
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,5.539821
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,4.007267
2019,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,3.5196620000000003
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,12.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,12.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,6.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,16.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,12.0
2019,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,11.0
