Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2012,_L_KG_060401_2B,KG03,PT,KG03,63.0
2013,_L_KG_060401_2B,KG03,PT,KG03,63.0
2014,_L_KG_060401_2B,KG03,PT,KG03,44.8
2015,_L_KG_060401_2B,KG03,PT,KG03,21.1
2016,_L_KG_060401_2B,KG03,PT,KG03,21.1
2017,_L_KG_060401_2B,KG03,PT,KG03,22.9
2018,_L_KG_060401_2B,KG03,PT,KG03,20.1
2019,_L_KG_060401_2B,KG03,PT,KG03,25.1
2020,_L_KG_060401_2B,KG03,PT,KG03,24.7
2021,_L_KG_060401_2B,KG03,PT,KG03,21.7
2022,_L_KG_060401_2B,KG03,PT,KG03,21.0
2010,_L_KG_060401_2B,KG02,PT,KG02,29.7
2011,_L_KG_060401_2B,KG02,PT,KG02,17.1
2012,_L_KG_060401_2B,KG02,PT,KG02,18.8
2013,_L_KG_060401_2B,KG02,PT,KG02,27.7
2014,_L_KG_060401_2B,KG02,PT,KG02,31.6
2015,_L_KG_060401_2B,KG02,PT,KG02,27.3
2016,_L_KG_060401_2B,KG02,PT,KG02,31.5
2017,_L_KG_060401_2B,KG02,PT,KG02,29.6
2018,_L_KG_060401_2B,KG02,PT,KG02,31.2
2019,_L_KG_060401_2B,KG02,PT,KG02,31.5
2020,_L_KG_060401_2B,KG02,PT,KG02,31.5
2021,_L_KG_060401_2B,KG02,PT,KG02,29.9
2022,_L_KG_060401_2B,KG02,PT,KG02,29.6
2010,_L_KG_060401_2B,KG04,PT,KG04,31.9
2011,_L_KG_060401_2B,KG04,PT,KG04,30.8
2012,_L_KG_060401_2B,KG04,PT,KG04,30.5
2013,_L_KG_060401_2B,KG04,PT,KG04,30.6
2014,_L_KG_060401_2B,KG04,PT,KG04,32.4
2015,_L_KG_060401_2B,KG04,PT,KG04,30.5
2016,_L_KG_060401_2B,KG04,PT,KG04,29.9
2017,_L_KG_060401_2B,KG04,PT,KG04,30.4
2018,_L_KG_060401_2B,KG04,PT,KG04,30.3
2019,_L_KG_060401_2B,KG04,PT,KG04,30.4
2020,_L_KG_060401_2B,KG04,PT,KG04,30.4
2021,_L_KG_060401_2B,KG04,PT,KG04,30.2
2022,_L_KG_060401_2B,KG04,PT,KG04,29.9
2010,_L_KG_060401_2B,KG06,PT,KG06,17.1
2011,_L_KG_060401_2B,KG06,PT,KG06,17.8
2012,_L_KG_060401_2B,KG06,PT,KG06,26.8
2013,_L_KG_060401_2B,KG06,PT,KG06,25.3
2014,_L_KG_060401_2B,KG06,PT,KG06,20.5
2015,_L_KG_060401_2B,KG06,PT,KG06,19.5
2016,_L_KG_060401_2B,KG06,PT,KG06,21.9
2017,_L_KG_060401_2B,KG06,PT,KG06,25.3
2018,_L_KG_060401_2B,KG06,PT,KG06,25.6
2019,_L_KG_060401_2B,KG06,PT,KG06,26.3
2020,_L_KG_060401_2B,KG06,PT,KG06,24.8
2021,_L_KG_060401_2B,KG06,PT,KG06,24.0
2022,_L_KG_060401_2B,KG06,PT,KG06,24.3
2010,_L_KG_060401_2B,KG07,PT,KG07,27.6
2011,_L_KG_060401_2B,KG07,PT,KG07,28.7
2012,_L_KG_060401_2B,KG07,PT,KG07,29.2
2013,_L_KG_060401_2B,KG07,PT,KG07,30.1
2014,_L_KG_060401_2B,KG07,PT,KG07,29.2
2015,_L_KG_060401_2B,KG07,PT,KG07,30.6
2016,_L_KG_060401_2B,KG07,PT,KG07,31.1
2017,_L_KG_060401_2B,KG07,PT,KG07,30.3
2018,_L_KG_060401_2B,KG07,PT,KG07,31.1
2019,_L_KG_060401_2B,KG07,PT,KG07,31.6
2020,_L_KG_060401_2B,KG07,PT,KG07,30.7
2021,_L_KG_060401_2B,KG07,PT,KG07,31.6
2022,_L_KG_060401_2B,KG07,PT,KG07,31.4
2010,_L_KG_060401_2B,KG08,PT,KG08,22.4
2011,_L_KG_060401_2B,KG08,PT,KG08,22.9
2012,_L_KG_060401_2B,KG08,PT,KG08,26.1
2013,_L_KG_060401_2B,KG08,PT,KG08,25.5
2014,_L_KG_060401_2B,KG08,PT,KG08,27.0
2015,_L_KG_060401_2B,KG08,PT,KG08,36.2
2016,_L_KG_060401_2B,KG08,PT,KG08,26.0
2017,_L_KG_060401_2B,KG08,PT,KG08,32.2
2018,_L_KG_060401_2B,KG08,PT,KG08,29.9
2019,_L_KG_060401_2B,KG08,PT,KG08,30.3
2020,_L_KG_060401_2B,KG08,PT,KG08,30.1
2021,_L_KG_060401_2B,KG08,PT,KG08,30.3
2022,_L_KG_060401_2B,KG08,PT,KG08,31.5
2010,_L_KG_060401_2B,KG11,PT,KG11,18.2
2011,_L_KG_060401_2B,KG11,PT,KG11,22.0
2013,_L_KG_060401_2B,KG11,PT,KG11,20.9
2014,_L_KG_060401_2B,KG11,PT,KG11,21.0
2015,_L_KG_060401_2B,KG11,PT,KG11,21.0
2016,_L_KG_060401_2B,KG11,PT,KG11,21.0
2017,_L_KG_060401_2B,KG11,PT,KG11,20.9
2018,_L_KG_060401_2B,KG11,PT,KG11,20.8
2019,_L_KG_060401_2B,KG11,PT,KG11,19.3
2020,_L_KG_060401_2B,KG11,PT,KG11,21.2
2021,_L_KG_060401_2B,KG11,PT,KG11,20.7
2022,_L_KG_060401_2B,KG11,PT,KG11,23.8
2017,_L_KG_060401_2B,KG21,PT,KG21,12.0
2018,_L_KG_060401_2B,KG21,PT,KG21,12.0
2019,_L_KG_060401_2B,KG21,PT,KG21,11.9
2020,_L_KG_060401_2B,KG21,PT,KG21,11.6
2021,_L_KG_060401_2B,KG21,PT,KG21,12.0
